dataset,iteration,n_features,accuracy,f1,mcc,fit_seconds,shap_seconds,mean_tree_depth,total_nodes,n_trees,top_feature,shap_remeasured,remeasured_clean
phiusiil,0,50,1.0,1.0,1.0,20.46,284.19,13.864,104862,500,URLSimilarityIndex,True,True
phiusiil,1,49,0.9997163040086243,0.9996671105193076,0.9994199473420987,31.2,683.21,19.158,281270,500,LineOfCode,True,True
phiusiil,2,48,0.9995460864137989,0.9994672704268496,0.9990719648501164,27.4,788.7,20.152,367168,500,IsHTTPS,True,True
phiusiil,3,47,0.9981559760560583,0.9978342718155466,0.9962301516836702,28.77,978.95,23.722,544400,500,NoOfSelfRef,True,True
phiusiil,4,46,0.9978439104655451,0.9974661598986464,0.9955936724655122,29.39,,25.126,628132,500,,False,True
phiusiil,5,45,0.9977304320689948,0.997332977730364,0.995361320722614,28.92,,26.246,704950,500,,False,True
phiusiil,6,44,0.9973616272802065,0.9968986560843032,0.9946080630085278,28.99,,28.38,838026,500,,False,True
phiusiil,7,43,0.9969928224914182,0.9964654884961653,0.9938532601136494,30.15,,28.88,952992,500,,False,True
phiusiil,8,42,0.9965672785043548,0.9959622251142924,0.9929862970428124,30.01,,31.152,1075554,500,,False,True
phiusiil,9,41,0.995375755340577,0.9945610464146285,0.9905481677112189,30.68,,33.43,1291626,500,,False,True
phiusiil,10,40,0.9945814065647253,0.9936237689868136,0.9889254016453218,28.74,,36.51,1496914,500,,False,True
phiusiil,11,39,0.9927657522199211,0.9914826814522864,0.9852132882490036,28.83,1860.9,39.466,1718032,500,NoOfOtherSpecialCharsInURL,True,True
phiusiil,12,38,0.9925671650259582,0.9912509183196421,0.9848054869947998,34.1,,39.31,1738726,500,,False,True
phiusiil,13,37,0.9918011858492439,0.990350906480585,0.9832372088397837,27.68,,39.632,1866634,500,,False,True
phiusiil,14,36,0.9891911827285881,0.9873055009495885,0.9778960075454447,27.25,,42.442,2247592,500,,False,True
