dataset,column,in_raw_download,uci_role,uci_type,status,reason
phiusiil,URL,True,Feature,Categorical,dropped,raw URL string; all engineered URL features are already present
phiusiil,URLLength,True,Feature,Integer,retained,
phiusiil,Domain,True,Feature,Categorical,dropped,"raw domain string; identifier, not a feature"
phiusiil,DomainLength,True,Feature,Integer,retained,
phiusiil,IsDomainIP,True,Feature,Integer,retained,
phiusiil,TLD,True,Feature,Categorical,dropped,high-cardinality categorical string; TLDLegitimateProb encodes it numerically
phiusiil,URLSimilarityIndex,True,Feature,Integer,retained,
phiusiil,CharContinuationRate,True,Feature,Integer,retained,
phiusiil,TLDLegitimateProb,True,Feature,Continuous,retained,
phiusiil,URLCharProb,True,Feature,Continuous,retained,
phiusiil,TLDLength,True,Feature,Integer,retained,
phiusiil,NoOfSubDomain,True,Feature,Integer,retained,
phiusiil,HasObfuscation,True,Feature,Integer,retained,
phiusiil,NoOfObfuscatedChar,True,Feature,Integer,retained,
phiusiil,ObfuscationRatio,True,Feature,Integer,retained,
phiusiil,NoOfLettersInURL,True,Feature,Integer,retained,
phiusiil,LetterRatioInURL,True,Feature,Continuous,retained,
phiusiil,NoOfDegitsInURL,True,Feature,Integer,retained,
phiusiil,DegitRatioInURL,True,Feature,Integer,retained,
phiusiil,NoOfEqualsInURL,True,Feature,Integer,retained,
phiusiil,NoOfQMarkInURL,True,Feature,Integer,retained,
phiusiil,NoOfAmpersandInURL,True,Feature,Integer,retained,
phiusiil,NoOfOtherSpecialCharsInURL,True,Feature,Integer,retained,
phiusiil,SpacialCharRatioInURL,True,Feature,Continuous,retained,
phiusiil,IsHTTPS,True,Feature,Integer,retained,
phiusiil,LineOfCode,True,Feature,Integer,retained,
phiusiil,LargestLineLength,True,Feature,Integer,retained,
phiusiil,HasTitle,True,Feature,Integer,retained,
phiusiil,Title,True,Feature,Categorical,dropped,raw page title string; DomainTitleMatchScore/URLTitleMatchScore encode it
phiusiil,DomainTitleMatchScore,True,Feature,Integer,retained,
phiusiil,URLTitleMatchScore,True,Feature,Integer,retained,
phiusiil,HasFavicon,True,Feature,Integer,retained,
phiusiil,Robots,True,Feature,Integer,retained,
phiusiil,IsResponsive,True,Feature,Integer,retained,
phiusiil,NoOfURLRedirect,True,Feature,Integer,retained,
phiusiil,NoOfSelfRedirect,True,Feature,Integer,retained,
phiusiil,HasDescription,True,Feature,Integer,retained,
phiusiil,NoOfPopup,True,Feature,Integer,retained,
phiusiil,NoOfiFrame,True,Feature,Integer,retained,
phiusiil,HasExternalFormSubmit,True,Feature,Integer,retained,
phiusiil,HasSocialNet,True,Feature,Integer,retained,
phiusiil,HasSubmitButton,True,Feature,Integer,retained,
phiusiil,HasHiddenFields,True,Feature,Integer,retained,
phiusiil,HasPasswordField,True,Feature,Integer,retained,
phiusiil,Bank,True,Feature,Integer,retained,
phiusiil,Pay,True,Feature,Integer,retained,
phiusiil,Crypto,True,Feature,Integer,retained,
phiusiil,HasCopyrightInfo,True,Feature,Integer,retained,
phiusiil,NoOfImage,True,Feature,Integer,retained,
phiusiil,NoOfCSS,True,Feature,Integer,retained,
phiusiil,NoOfJS,True,Feature,Integer,retained,
phiusiil,NoOfSelfRef,True,Feature,Integer,retained,
phiusiil,NoOfEmptyRef,True,Feature,Integer,retained,
phiusiil,NoOfExternalRef,True,Feature,Integer,retained,
phiusiil,label,True,Target,Integer,label,"target variable (harmonised to 1=phishing, 0=legitimate)"
phiusiil,FILENAME,False,Other,Categorical,not_delivered,"present in UCI's variables metadata with role='Other', but ucimlrepo returns only role='Feature' columns in data.features (and data.ids is None), so it never reaches the frame"
uci,having_ip_address,True,Feature,Integer,retained,
uci,url_length,True,Feature,Integer,retained,
uci,shortining_service,True,Feature,Integer,retained,
uci,having_at_symbol,True,Feature,Integer,retained,
uci,double_slash_redirecting,True,Feature,Integer,retained,
uci,prefix_suffix,True,Feature,Integer,retained,
uci,having_sub_domain,True,Feature,Integer,retained,
uci,sslfinal_state,True,Feature,Integer,retained,
uci,domain_registration_length,True,Feature,Integer,retained,
uci,favicon,True,Feature,Integer,retained,
uci,port,True,Feature,Integer,retained,
uci,https_token,True,Feature,Integer,retained,
uci,request_url,True,Feature,Integer,retained,
uci,url_of_anchor,True,Feature,Integer,retained,
uci,links_in_tags,True,Feature,Integer,retained,
uci,sfh,True,Feature,Integer,retained,
uci,submitting_to_email,True,Feature,Integer,retained,
uci,abnormal_url,True,Feature,Integer,retained,
uci,redirect,True,Feature,Integer,retained,
uci,on_mouseover,True,Feature,Integer,retained,
uci,rightclick,True,Feature,Integer,retained,
uci,popupwindow,True,Feature,Integer,retained,
uci,iframe,True,Feature,Integer,retained,
uci,age_of_domain,True,Feature,Integer,retained,
uci,dnsrecord,True,Feature,Integer,retained,
uci,web_traffic,True,Feature,Integer,retained,
uci,page_rank,True,Feature,Integer,retained,
uci,google_index,True,Feature,Integer,retained,
uci,links_pointing_to_page,True,Feature,Integer,retained,
uci,statistical_report,True,Feature,Integer,retained,
uci,result,True,Target,Integer,label,"target variable (harmonised to 1=phishing, 0=legitimate)"
