config,dataset,seed,kendall_tau,tau_pvalue,jaccard_5,jaccard_10,jaccard_15,sign_agreement_top5,sign_agreement_top10,sign_agreement_top15,sign_agreement_weighted,sign_agreement_unfiltered,n_features_sign_top10,top1_half_a,top1_half_b,dedup,tau_pvalue_permutation,n_features,top1_agrees,n_features_sign_top5,n_features_sign_top15,direction_sign_agreement_top5,direction_n_features_sign_top5,direction_sign_agreement_top10,direction_n_features_sign_top10,direction_sign_agreement_top15,direction_n_features_sign_top15,direction_sign_agreement_weighted,direction_sign_agreement_unfiltered,directional_top5_rho03,n_meeting_rho_min_top5_rho03,directional_top5_rho05,n_meeting_rho_min_top5_rho05,directional_top10_rho03,n_meeting_rho_min_top10_rho03,directional_top10_rho05,n_meeting_rho_min_top10_rho05,directional_top15_rho03,n_meeting_rho_min_top15_rho03,directional_top15_rho05,n_meeting_rho_min_top15_rho05,direction_cancellation_ratio_a,direction_cancellation_ratio_b,tau_ci_lower,tau_ci_upper,half_a_fit_seconds,half_a_shap_seconds,half_a_n_train,half_a_n_explained,half_a_train_accuracy,half_b_fit_seconds,half_b_shap_seconds,half_b_n_train,half_b_n_explained,half_b_train_accuracy
uci_full,uci,42,0.8160919540229885,7.300137821609699e-14,0.6666666666666666,1.0,0.875,25.0,20.0,28.57142857142857,16.469961489330252,40.0,10,url_of_anchor,url_of_anchor,False,9.999000099990002e-05,30,True,4,14,100.0,4,100.0,10,92.85714285714286,14,98.17043803739458,93.33333333333333,100.0,5,100.0,5,100.0,10,100.0,10,93.33333333333333,14,93.33333333333333,14,0.09414685617795036,0.09294766216258085,0.6523602113876577,0.9282296650717703,1.14,0.0,5527,5527,0.9927628007960919,1.07,0.0,5528,5528,0.9916787264833574
uci_full,uci,43,0.8390804597701149,5.0872167696777145e-15,0.6666666666666666,1.0,0.875,50.0,60.0,50.0,72.72582437968224,46.666666666666664,10,sslfinal_state,url_of_anchor,False,9.999000099990002e-05,30,False,4,14,100.0,4,100.0,10,92.85714285714286,14,97.75406137537414,86.66666666666667,100.0,5,100.0,5,100.0,10,100.0,10,93.33333333333333,14,93.33333333333333,14,0.10895448248988261,0.11235819256586799,0.6816964439395503,0.9386286142935079,1.04,0.0,5527,5527,0.993305590736385,1.1,0.0,5528,5528,0.9911360347322721
uci_full,uci,44,0.825287356321839,2.605910755382698e-14,0.6666666666666666,0.8181818181818182,0.875,50.0,44.44444444444444,57.14285714285714,28.954325837056587,50.0,9,sslfinal_state,sslfinal_state,False,9.999000099990002e-05,30,True,4,14,100.0,4,100.0,9,100.0,14,99.28065679035132,93.33333333333333,100.0,5,100.0,5,100.0,10,100.0,10,86.66666666666667,13,86.66666666666667,13,0.06446524537887632,0.10615848421588378,0.6753954271175756,0.9198552534221235,1.05,0.0,5527,5527,0.9904107110548218,1.04,0.0,5528,5528,0.9922214182344429
uci_full,uci,45,0.7977011494252874,5.050768875661071e-13,1.0,1.0,0.875,60.0,40.0,42.857142857142854,67.09815985388937,43.333333333333336,10,url_of_anchor,url_of_anchor,False,9.999000099990002e-05,30,True,5,14,100.0,5,100.0,10,92.85714285714286,14,98.65715902112652,96.66666666666667,100.0,5,100.0,5,100.0,10,100.0,10,93.33333333333333,14,93.33333333333333,14,0.10232394646063482,0.12390481219438035,0.6436080872668325,0.9086755952380954,1.09,0.0,5527,5527,0.9911344309752126,1.09,0.0,5528,5528,0.9914978292329957
uci_full,uci,46,0.8436781609195403,2.876505047359163e-15,1.0,0.8181818181818182,1.0,40.0,55.55555555555556,53.333333333333336,50.45625365528018,50.0,9,sslfinal_state,url_of_anchor,False,9.999000099990002e-05,30,False,5,15,100.0,5,100.0,9,93.33333333333333,15,97.91307902834406,86.66666666666667,100.0,5,100.0,5,100.0,10,100.0,10,93.33333333333333,14,86.66666666666667,13,0.15542874585602634,0.09138552283000771,0.695787825750946,0.9427275664828032,1.07,0.0,5527,5527,0.9895060611543333,1.05,0.0,5528,5528,0.9924023154848046
uci_dedup,uci,42,0.7701149425287357,6.9946007521658696e-12,0.6666666666666666,0.8181818181818182,0.875,50.0,44.44444444444444,42.857142857142854,46.06367694609004,50.0,9,url_of_anchor,url_of_anchor,True,9.999000099990002e-05,30,True,4,14,100.0,4,100.0,9,100.0,14,99.55835194380059,93.33333333333333,100.0,5,100.0,5,100.0,10,90.0,9,93.33333333333333,14,86.66666666666667,13,0.1321826321081536,0.07407305115440349,0.5586594863297432,0.9100506814213472,0.49,0.0,2924,2924,0.993844049247606,0.49,0.0,2925,2925,0.9894017094017094
uci_dedup,uci,43,0.7655172413793103,1.05385620614663e-11,0.6666666666666666,0.8181818181818182,0.875,25.0,55.55555555555556,64.28571428571429,52.46804749896391,53.333333333333336,9,sslfinal_state,url_of_anchor,True,9.999000099990002e-05,30,False,4,14,100.0,4,100.0,9,100.0,14,98.5277038463739,86.66666666666667,100.0,5,80.0,4,100.0,10,90.0,9,93.33333333333333,14,86.66666666666667,13,0.12260638687142685,0.09064683133321594,0.6086696484293739,0.8729411764705881,0.48,0.0,2924,2924,0.990766073871409,0.51,0.0,2925,2925,0.9945299145299146
uci_dedup,uci,44,0.7701149425287357,6.9946007521658696e-12,0.6666666666666666,0.8181818181818182,0.7647058823529411,50.0,33.33333333333333,38.46153846153847,41.56855916010558,43.333333333333336,9,url_of_anchor,sslfinal_state,True,9.999000099990002e-05,30,False,4,13,100.0,4,100.0,9,100.0,13,97.73574318932474,90.0,100.0,5,80.0,4,100.0,10,90.0,9,86.66666666666667,14,80.0,12,0.09062655569652239,0.14716584739741978,0.6350156908299668,0.8663484486873508,0.47,0.0,2924,2924,0.9911080711354309,0.49,0.0,2925,2925,0.9941880341880341
uci_dedup,uci,45,0.7517241379310345,3.4514772832318665e-11,0.6666666666666666,0.8181818181818182,0.6666666666666666,75.0,66.66666666666666,66.66666666666666,76.34331410591162,56.666666666666664,9,url_of_anchor,sslfinal_state,True,9.999000099990002e-05,30,False,4,12,100.0,4,100.0,9,100.0,12,99.38102422367413,90.0,100.0,5,100.0,5,100.0,10,100.0,10,93.33333333333333,14,93.33333333333333,14,0.10207764825439761,0.1038908688784862,0.6124401913875599,0.8612440191387559,0.48,0.0,2924,2924,0.9935020519835841,0.48,0.0,2925,2925,0.9935042735042735
uci_dedup,uci,46,0.7839080459770115,1.9518944949315258e-12,0.6666666666666666,0.8181818181818182,0.7647058823529411,50.0,22.22222222222222,46.15384615384615,62.03467365748754,50.0,9,url_of_anchor,url_of_anchor,True,9.999000099990002e-05,30,True,4,13,100.0,4,100.0,9,100.0,13,98.7433197799945,90.0,100.0,5,100.0,5,100.0,10,100.0,10,100.0,15,93.33333333333333,14,0.1106439410650523,0.07959367765688649,0.6018244748837787,0.919047619047619,0.52,0.0,2924,2924,0.990766073871409,0.48,0.0,2925,2925,0.9948717948717949
