concept,status,uci_feature,phiusiil_source,rationale,caveat,rho_phiusiil,rho_uci,direction_agrees,polarity_status
ip_in_domain,mapped,having_ip_address,IsDomainIP,Both encode 'the host is a bare IP address rather than a domain name'. Direct binary correspondence.,,-0.0605489999124573,-0.0941600949562038,True,agrees
url_length,mapped,url_length,URLLength,"Same quantity (characters in the URL); PhiUSIIL stores it raw, UCI stores it binned. Discretised with UCI's published 54/75 thresholds.",,-0.3539937654486287,-0.0533315794339325,True,agrees
subdomain_depth,mapped,having_sub_domain,NoOfSubDomain,"Both encode subdomain nesting depth. UCI counts dots after stripping www and ccTLD; PhiUSIIL counts subdomains directly, so the counts align up to the stripping convention.",UCI's dot-count and PhiUSIIL's subdomain count can differ by one for hosts with a ccTLD (e.g. .co.uk).,-0.1141491829083289,-0.3046922676521399,True,agrees
ssl_state,mapped,sslfinal_state,IsHTTPS,"Closest available correspondence to UCI's SSL assessment: whether the page is served over HTTPS at all, which is the dominant component of sslfinal_state.","IMPERFECT. UCI's sslfinal_state additionally requires a trusted issuer and a certificate at least a year old, and has a 'suspicious' state for https-with-untrusted-issuer. PhiUSIIL records only the scheme, so the suspicious state is unreachable from the PhiUSIIL side.",-0.6124154229775562,-0.735813975062039,True,agrees
iframe,mapped,iframe,NoOfiFrame,Both encode iframe usage on the page.,"UCI targets specifically INVISIBLE iframes; PhiUSIIL counts all iframes. Note also that UCI's iframe feature carries no marginal signal at all (phishing rate 0.44 at both of its values), so this concept contributes nothing on the UCI side regardless of the mapping quality.",0.521331928092635,0.0033935238644643,False,NO_SIGNAL_UCI
popup,mapped,popupwindow,NoOfPopup,Both encode popup-window usage.,"UCI targets popups containing a text field; PhiUSIIL counts all popups. As with iframe, UCI's popupwindow has phishing rate 0.44 at both values - zero marginal signal on the UCI side.",0.1925460026806499,-8.588679256217027e-05,False,NO_SIGNAL_UCI
url_redirect,mapped,redirect,NoOfURLRedirect,"Both encode redirection on the way to the page. UCI's `redirect` takes only {0, 1} in the delivered data, so the PhiUSIIL side is mapped onto that same {0, 1} domain rather than the usual ternary one.","UCI's published rule describes a 3-way split on redirect count, but the delivered column is binary; the mapping follows the DATA, not the paper.",0.0480143528227923,0.0201134616575737,True,agrees
form_handler,mapped,sfh,HasExternalFormSubmit,Both encode whether a form posts to a different domain than the page - UCI's Server Form Handler check and PhiUSIIL's external-form-submit flag.,UCI's 'suspicious' state (blank/about:blank handler) has no PhiUSIIL counterpart and is unreachable from the PhiUSIIL side.,0.1673089014798561,-0.2191900653063038,False,INVERTED
anchor_external_ratio,mapped,url_of_anchor,NoOfExternalRef + NoOfSelfRef + NoOfEmptyRef,"UCI's url_of_anchor is the share of <a> hrefs pointing off-domain. PhiUSIIL provides the underlying counts (external / self / empty references), so the ratio is reconstructed directly and binned with UCI's 31%/67% thresholds.",,0.0872798521005418,-0.7012072591666815,False,INVERTED
,unmapped_uci,shortining_service,,URL-shortener detection; PhiUSIIL has no shortener feature.,,,,,
,unmapped_uci,having_at_symbol,,"presence of '@' in the URL; PhiUSIIL counts only aggregate special characters, with no per-character breakdown.",,,,,
,unmapped_uci,double_slash_redirecting,,'//' position in the path; no PhiUSIIL equivalent.,,,,,
,unmapped_uci,prefix_suffix,,hyphen in the domain; PhiUSIIL has no hyphen feature.,,,,,
,unmapped_uci,domain_registration_length,,WHOIS registration length; PhiUSIIL has no WHOIS data.,,,,,
,unmapped_uci,favicon,,"favicon loaded from an EXTERNAL domain. PhiUSIIL's HasFavicon records presence only, which is a different concept - mapping them would force a match between 'has a favicon' and 'favicon is foreign'.",,,,,
,unmapped_uci,port,,non-standard port; no PhiUSIIL equivalent.,,,,,
,unmapped_uci,https_token,,"the literal token 'https' inside the domain name (a deception pattern), NOT whether HTTPS is used. PhiUSIIL's IsHTTPS is the latter and is already mapped to sslfinal_state.",,,,,
,unmapped_uci,request_url,,"share of loaded OBJECTS (images/scripts) from an external domain. PhiUSIIL has NoOfImage/NoOfCSS/NoOfJS but no internal/external split for them, so the ratio cannot be reconstructed.",,,,,
,unmapped_uci,links_in_tags,,share of links inside meta/script/link tags; PhiUSIIL has no tag-scoped link counts.,,,,,
,unmapped_uci,submitting_to_email,,mailto: form action; no PhiUSIIL equivalent.,,,,,
,unmapped_uci,abnormal_url,,WHOIS hostname consistency; no PhiUSIIL WHOIS data.,,,,,
,unmapped_uci,on_mouseover,,JavaScript status-bar manipulation; PhiUSIIL records no JS behaviour.,,,,,
,unmapped_uci,rightclick,,right-click disabling; PhiUSIIL records no JS behaviour.,,,,,
,unmapped_uci,age_of_domain,,WHOIS domain age; no PhiUSIIL WHOIS data.,,,,,
,unmapped_uci,dnsrecord,,DNS record existence; no PhiUSIIL DNS data.,,,,,
,unmapped_uci,web_traffic,,"Alexa traffic rank; external reputation, absent from PhiUSIIL.",,,,,
,unmapped_uci,page_rank,,"PageRank; external reputation, absent from PhiUSIIL.",,,,,
,unmapped_uci,google_index,,"Google index membership; external reputation, absent from PhiUSIIL.",,,,,
,unmapped_uci,links_pointing_to_page,,INBOUND link count. PhiUSIIL's NoOfExternalRef is OUTBOUND; mapping them would invert the direction of the relationship.,,,,,
,unmapped_uci,statistical_report,,membership of a published blacklist; external reputation.,,,,,
,unmapped_phiusiil,,DomainLength,no defensible UCI counterpart (UCI has no comparable page-content/URL-composition feature),,,,,
,unmapped_phiusiil,,URLSimilarityIndex,no defensible UCI counterpart (UCI has no comparable page-content/URL-composition feature),,,,,
,unmapped_phiusiil,,CharContinuationRate,no defensible UCI counterpart (UCI has no comparable page-content/URL-composition feature),,,,,
