dataset,model,seed,fit_seconds,n_train,n_test,accuracy,precision,recall,f1,mcc,roc_auc
phiusiil,rf,42,12.99,164490,35249,1.0,1.0,1.0,1.0,1.0,1.0
phiusiil,xgb,42,1.28,164490,35249,1.0,1.0,1.0,1.0,1.0,1.0000000000000002
phiusiil,lgbm,42,0.56,164490,35249,1.0,1.0,1.0,1.0,1.0,1.0
phiusiil,ensemble,42,18.34,164490,35249,1.0,1.0,1.0,1.0,1.0,1.0
phiusiil,rf,43,12.74,164490,35249,1.0,1.0,1.0,1.0,1.0,1.0
phiusiil,xgb,43,1.4,164490,35249,1.0,1.0,1.0,1.0,1.0,1.0
phiusiil,lgbm,43,0.59,164490,35249,1.0,1.0,1.0,1.0,1.0,1.0
phiusiil,ensemble,43,17.83,164490,35249,1.0,1.0,1.0,1.0,1.0,1.0
phiusiil,rf,44,13.1,164490,35249,1.0,1.0,1.0,1.0,1.0,1.0
phiusiil,xgb,44,1.52,164490,35249,1.0,1.0,1.0,1.0,1.0,1.0
phiusiil,lgbm,44,0.59,164490,35249,1.0,1.0,1.0,1.0,1.0,1.0
phiusiil,ensemble,44,17.96,164490,35249,1.0,1.0,1.0,1.0,1.0,1.0
phiusiil,rf,45,13.03,164490,35249,1.0,1.0,1.0,1.0,1.0,1.0
phiusiil,xgb,45,1.43,164490,35249,1.0,1.0,1.0,1.0,1.0,1.0000000000000002
phiusiil,lgbm,45,0.61,164490,35249,1.0,1.0,1.0,1.0,1.0,1.0
phiusiil,ensemble,45,18.27,164490,35249,1.0,1.0,1.0,1.0,1.0,1.0
phiusiil,rf,46,12.72,164490,35249,0.9999716304008625,1.0,0.9999334265361827,0.999966712160048,0.9999419962409097,1.0
phiusiil,xgb,46,1.51,164490,35249,0.9999716304008625,1.0,0.9999334265361827,0.999966712160048,0.9999419962409097,0.999999996708846
phiusiil,lgbm,46,0.58,164490,35249,0.9999716304008625,1.0,0.9999334265361827,0.999966712160048,0.9999419962409097,0.9999999802530758
phiusiil,ensemble,46,17.78,164490,35249,0.9999716304008625,1.0,0.9999334265361827,0.999966712160048,0.9999419962409097,1.0
uci,rf,42,0.12,4093,878,0.9476082004555809,0.9552572706935123,0.9426048565121413,0.9488888888888889,0.8952391862766498,0.9879548110634983
uci,xgb,42,0.15,4093,878,0.958997722095672,0.9685393258426966,0.9514348785871964,0.9599109131403119,0.9181122777384106,0.9935800545383717
uci,lgbm,42,0.24,4093,878,0.9498861047835991,0.9595505617977528,0.9426048565121413,0.9510022271714922,0.899878066254031,0.9922451629658486
uci,ensemble,42,1.68,4093,878,0.9555808656036446,0.96,0.9536423841059603,0.9568106312292359,0.9111119939076673,0.9916062848980651
uci,rf,43,0.14,4093,878,0.9464692482915718,0.9551569506726457,0.9403973509933775,0.9477196885428254,0.8929976740419737,0.990149331255681
uci,xgb,43,0.16,4093,878,0.9510250569476082,0.9596412556053812,0.9448123620309051,0.9521690767519466,0.9021150873544785,0.9911466043370991
uci,lgbm,43,0.24,4093,878,0.9464692482915718,0.9511111111111111,0.9448123620309051,0.9479512735326688,0.8928737592223298,0.9910479158550838
uci,ensemble,43,1.5,4093,878,0.9521640091116174,0.9576837416481069,0.9492273730684326,0.9534368070953437,0.9042960612839395,0.9920451889365018
uci,rf,44,0.18,4093,878,0.9453302961275627,0.9612756264236902,0.9315673289183223,0.9461883408071748,0.8911138452575591,0.9908791066095314
uci,xgb,44,0.15,4093,878,0.9464692482915718,0.9572072072072072,0.9381898454746137,0.947603121516165,0.8930874326576946,0.9929983119075445
uci,lgbm,44,0.24,4093,878,0.9521640091116174,0.9617977528089887,0.9448123620309051,0.9532293986636972,0.9044366191251259,0.9937774315024023
uci,ensemble,44,0.55,4093,878,0.9521640091116174,0.9617977528089887,0.9448123620309051,0.9532293986636972,0.9044366191251259,0.9933826775743411
uci,rf,45,0.13,4093,878,0.9498861047835991,0.9534368070953437,0.9492273730684326,0.9513274336283186,0.8996941152178085,0.988653421633554
uci,xgb,45,0.15,4093,878,0.9544419134396356,0.9518599562363238,0.9602649006622517,0.9560439560439561,0.9088023530516435,0.9902194520192182
uci,lgbm,45,0.25,4093,878,0.9544419134396356,0.9498910675381264,0.9624724061810155,0.956140350877193,0.9088363894630976,0.9895857680820673
uci,ensemble,45,0.58,4093,878,0.9578587699316629,0.956140350877193,0.9624724061810155,0.9592959295929593,0.915634759949778,0.9910141540059731
uci,rf,46,0.14,4093,878,0.958997722095672,0.9582417582417583,0.9624724061810155,0.960352422907489,0.917909567239764,0.9933593039864953
uci,xgb,46,0.14,4093,878,0.9510250569476082,0.9495614035087719,0.9558498896247241,0.9526952695269527,0.9019501142523897,0.9942786651084274
uci,lgbm,46,0.25,4093,878,0.94874715261959,0.9396551724137931,0.9624724061810155,0.95092693565976,0.8975906535224477,0.9939150759641605
uci,ensemble,46,0.55,4093,878,0.94874715261959,0.9434782608695652,0.9580573951434879,0.9507119386637459,0.89745213808535,0.9940812881443968
