dataset,feature,class,class_name,rank,value,count,percent_of_class
phiusiil,URLSimilarityIndex,1,phishing,1,100.0,786,0.784925
phiusiil,URLSimilarityIndex,1,phishing,2,66.72,742,0.740985
phiusiil,URLSimilarityIndex,1,phishing,3,66.69538462,481,0.480342
phiusiil,URLSimilarityIndex,1,phishing,4,22.33401033,369,0.368495
phiusiil,URLSimilarityIndex,1,phishing,5,60.84558824,229,0.228687
phiusiil,URLSimilarityIndex,1,phishing,6,80.0,220,0.219699
phiusiil,URLSimilarityIndex,1,phishing,7,9.540761837,216,0.215704
phiusiil,URLSimilarityIndex,1,phishing,8,23.03087902,201,0.200725
phiusiil,URLSimilarityIndex,1,phishing,9,36.68191414,191,0.190739
phiusiil,URLSimilarityIndex,1,phishing,10,77.28395062,182,0.181751
phiusiil,URLSimilarityIndex,0,legitimate,1,100.0,134850,100.0
phiusiil,NoOfExternalRef,1,phishing,1,0.0,55102,55.026614
phiusiil,NoOfExternalRef,1,phishing,2,1.0,22769,22.737849
phiusiil,NoOfExternalRef,1,phishing,3,3.0,8891,8.878836
phiusiil,NoOfExternalRef,1,phishing,4,2.0,7907,7.896182
phiusiil,NoOfExternalRef,1,phishing,5,4.0,2623,2.619411
phiusiil,NoOfExternalRef,1,phishing,6,5.0,593,0.592189
phiusiil,NoOfExternalRef,1,phishing,7,6.0,338,0.337538
phiusiil,NoOfExternalRef,1,phishing,8,7.0,337,0.336539
phiusiil,NoOfExternalRef,1,phishing,9,8.0,278,0.27762
phiusiil,NoOfExternalRef,1,phishing,10,24.0,143,0.142804
phiusiil,NoOfExternalRef,0,legitimate,1,11.0,2414,1.790137
phiusiil,NoOfExternalRef,0,legitimate,2,9.0,2366,1.754542
phiusiil,NoOfExternalRef,0,legitimate,3,10.0,2337,1.733037
phiusiil,NoOfExternalRef,0,legitimate,4,8.0,2285,1.694475
phiusiil,NoOfExternalRef,0,legitimate,5,13.0,2274,1.686318
phiusiil,NoOfExternalRef,0,legitimate,6,12.0,2227,1.651465
phiusiil,NoOfExternalRef,0,legitimate,7,7.0,2194,1.626993
phiusiil,NoOfExternalRef,0,legitimate,8,14.0,2189,1.623285
phiusiil,NoOfExternalRef,0,legitimate,9,6.0,2097,1.555061
phiusiil,NoOfExternalRef,0,legitimate,10,15.0,2085,1.546162
phiusiil,LineOfCode,1,phishing,1,2.0,26244,26.208095
phiusiil,LineOfCode,1,phishing,2,9.0,10934,10.919041
phiusiil,LineOfCode,1,phishing,3,108.0,5679,5.67123
phiusiil,LineOfCode,1,phishing,4,11.0,3506,3.501203
phiusiil,LineOfCode,1,phishing,5,198.0,3025,3.020861
phiusiil,LineOfCode,1,phishing,6,20.0,3020,3.015868
phiusiil,LineOfCode,1,phishing,7,8.0,2868,2.864076
phiusiil,LineOfCode,1,phishing,8,13.0,2731,2.727264
phiusiil,LineOfCode,1,phishing,9,3.0,2389,2.385732
phiusiil,LineOfCode,1,phishing,10,4.0,2127,2.12409
phiusiil,LineOfCode,0,legitimate,1,527.0,109,0.080831
phiusiil,LineOfCode,0,legitimate,2,484.0,105,0.077864
phiusiil,LineOfCode,0,legitimate,3,638.0,103,0.076381
phiusiil,LineOfCode,0,legitimate,4,514.0,101,0.074898
phiusiil,LineOfCode,0,legitimate,5,636.0,101,0.074898
phiusiil,LineOfCode,0,legitimate,6,700.0,99,0.073415
phiusiil,LineOfCode,0,legitimate,7,603.0,98,0.072673
phiusiil,LineOfCode,0,legitimate,8,568.0,98,0.072673
phiusiil,LineOfCode,0,legitimate,9,587.0,97,0.071932
phiusiil,LineOfCode,0,legitimate,10,499.0,97,0.071932
