timestamp,cpu_percent,n_python_procs,job_tags,load_avg_1m
2026-09-11T15:39:58,11.9,9,A1.3;B2;other;worker,0.0
2026-09-11T15:40:19,11.7,9,A1.3;B2;other;worker,0.07
2026-09-11T15:40:40,7.1,5,A1.3;other;worker,0.32
2026-09-11T15:41:00,7.4,5,A1.3;other;worker,0.23
2026-09-11T15:41:20,7.4,5,A1.3;other;worker,0.31
2026-09-11T15:41:41,5.8,5,A1.3;other;worker,0.22
2026-09-11T15:42:01,6.5,5,A1.3;other;worker,0.16
2026-09-11T15:42:22,14.4,7,A1.3;B2;other;worker,0.11
2026-09-11T15:42:43,100.0,7,A1.3;B2;other;worker,0.08
2026-09-11T15:43:03,11.9,29,A1.3;B2;other;worker,0.57
2026-09-11T15:43:24,18.2,29,A1.3;B2;other;worker,0.37
2026-09-11T15:43:45,100.0,29,A1.3;B2;other;worker,0.59
2026-09-11T15:44:06,17.6,29,A1.3;B2;other;worker,1.28
2026-09-11T15:44:26,24.9,29,A1.3;B2;other;worker,0.91
2026-09-11T15:44:48,25.4,29,A1.3;B2;other;worker,0.78
2026-09-11T15:45:09,43.1,29,A1.3;B2;other;worker,6.74
2026-09-11T15:45:30,44.4,29,A1.3;B2;other;worker,20.15
2026-09-11T15:45:52,49.9,29,A1.3;B2;other;worker,27.99
2026-09-11T15:46:13,43.0,29,A1.3;B2;other;worker,31.43
2026-09-11T15:46:34,48.8,53,A1.3;B2;other;worker,38.23
2026-09-11T15:46:56,43.7,53,A1.3;B2;other;worker,36.11
2026-09-11T15:47:19,43.0,53,A1.3;B2;other;worker,34.1
2026-09-11T15:47:41,44.1,53,A1.3;B2;other;worker,33.86
2026-09-11T15:48:03,42.9,36,A1.3;B2;other;worker,32.96
2026-09-11T15:48:25,43.4,36,A1.3;B2;other;worker,31.61
2026-09-11T15:48:48,43.5,36,A1.3;B2;other;worker,32.31
2026-09-11T15:49:11,45.9,33,A1.3;B2;other;worker,31.7
2026-09-11T15:49:33,46.2,33,A1.3;B2;other;worker,30.86
2026-09-11T15:49:55,100.0,33,A1.3;B2;other;worker,28.59
2026-09-11T15:50:16,100.0,9,A1.3;B2;other;worker,24.5
2026-09-11T15:50:36,100.0,9,A1.3;B2;other;worker,17.92
2026-09-11T15:50:58,49.0,9,A1.3;B2;other;worker,13.31
2026-09-11T15:51:19,45.0,9,A1.3;B2;other;worker,17.36
2026-09-11T15:51:40,45.1,9,A1.3;B2;other;worker,23.6
2026-09-11T15:52:01,42.9,9,A1.3;B2;other;worker,24.31
2026-09-11T15:52:23,48.3,9,A1.3;B2;other;worker,26.51
2026-09-11T15:52:44,56.5,9,A1.3;B2;other;worker,27.44
2026-09-11T15:53:05,48.4,9,A1.3;B2;other;worker,29.08
2026-09-11T15:53:27,47.4,9,A1.3;B2;other;worker,30.81
2026-09-11T15:53:48,43.7,9,A1.3;B2;other;worker,32.6
2026-09-11T15:54:09,11.6,29,A1.3;B2;other;worker,23.36
2026-09-11T15:54:31,14.8,29,A1.3;B2;other;worker,15.4
2026-09-11T15:54:52,11.9,29,A1.3;B2;other;worker,11.04
2026-09-11T15:55:13,11.3,29,A1.3;B2;other;worker,7.91
2026-09-11T15:55:34,10.9,29,A1.3;B2;other;worker,5.67
2026-09-11T15:55:55,12.6,29,A1.3;B2;other;worker,3.74
2026-09-11T15:56:21,45.0,49,A1.3;B2;other;worker,13.15
2026-09-11T15:56:41,11.2,49,A1.3;B2;other;worker,9.69
2026-09-11T15:57:03,11.4,49,A1.3;B2;other;worker,7.01
2026-09-11T15:57:24,11.0,49,A1.3;B2;other;worker,5.03
2026-09-11T15:57:45,11.5,49,A1.3;B2;other;worker,3.6
2026-09-11T15:58:06,11.0,49,A1.3;B2;other;worker,2.37
2026-09-11T15:58:27,11.5,49,A1.3;B2;other;worker,1.7
2026-09-11T15:58:48,13.9,49,A1.3;B2;other;worker,1.22
2026-09-11T15:59:10,14.7,43,A1.3;B2;other;worker,0.87
2026-09-11T15:59:30,18.0,31,A1.3;B2;other;worker,0.63
2026-09-11T15:59:51,13.6,31,A1.3;B2;other;worker,0.41
2026-09-11T16:00:12,20.1,31,A1.3;B2;other;worker,0.3
2026-09-11T16:00:33,16.6,31,A1.3;B2;other;worker,0.21
2026-09-11T16:00:55,16.0,31,A1.3;B2;other;worker,0.15
2026-09-11T16:01:16,16.4,30,A1.3;B2;other;worker,0.11
2026-09-11T16:01:37,16.9,14,A1.3;B2;other;worker,0.07
2026-09-11T16:01:58,15.7,11,A1.3;B2;other;worker,0.05
2026-09-11T16:02:18,14.8,11,A1.3;B2;other;worker,0.04
2026-09-11T16:02:39,14.5,11,A1.3;B2;other;worker,0.03
2026-09-11T16:03:00,16.0,11,A1.3;B2;other;worker,0.02
2026-09-11T16:03:21,23.3,11,A1.3;B2;other;worker,0.01
2026-09-11T16:03:42,25.2,11,A1.3;B2;other;worker,0.01
2026-09-11T16:04:03,100.0,9,A1.3;B2;other;worker,0.17
2026-09-11T16:04:24,100.0,9,A1.3;B2;other;worker,0.82
2026-09-11T16:04:45,100.0,9,A1.3;B2;other;worker,1.76
2026-09-11T16:05:06,100.0,9,A1.3;B2;other;worker,1.85
2026-09-11T16:05:27,100.0,9,A1.3;B2;other;worker,1.76
2026-09-11T16:05:48,53.0,29,A1.3;B2;other;worker,3.52
2026-09-11T16:06:09,16.4,29,A1.3;B2;other;worker,2.52
2026-09-11T16:06:30,15.0,29,A1.3;B2;other;worker,1.81
