train,test,direction,in_distribution,seed,accuracy,precision,recall,f1,mcc,roc_auc,majority_class_accuracy,accuracy_above_majority,n_train,n_test
phiusiil,phiusiil,phiusiil->phiusiil,True,42,0.9028624925529802,0.906826632989546,0.8604620198388923,0.8830361412857826,0.8008810876835218,0.9673232571624695,0.5738602513546484,0.3290022411983319,164490,35249
phiusiil,uci,phiusiil->uci,False,42,0.5226039783001808,0.4810126582278481,0.9823129251700681,0.6457960644007156,0.23562572126039322,0.8412705774950673,0.5569620253164558,-0.034358047016274984,164490,1659
uci,phiusiil,uci->phiusiil,False,42,0.6489262106726432,0.8644628099173554,0.20890752945875773,0.33649670258967346,0.3003270657687388,0.741616153705424,0.5738602513546484,0.07506595931799487,7737,35249
uci,uci,uci->uci,True,42,0.9222423146473779,0.9291784702549575,0.8925170068027211,0.9104788341429563,0.842334193039243,0.9742600936478487,0.5569620253164558,0.36528028933092216,7737,1659
phiusiil,phiusiil,phiusiil->phiusiil,True,43,0.9016993389883401,0.9068441064638784,0.8573996405032954,0.881429011395134,0.7985067984722257,0.9669734552102963,0.5738602513546484,0.32783908763369174,164490,35249
phiusiil,uci,phiusiil->uci,False,43,0.5304400241109102,0.4851150202976996,0.9755102040816327,0.6479891549932218,0.24205268209206385,0.7969755867715052,0.5569620253164558,-0.026522001205545598,164490,1659
uci,phiusiil,uci->phiusiil,False,43,0.6203012851428409,0.8417536534446765,0.13421210305572198,0.2315112540192926,0.22691834455484164,0.7040334471690854,0.5738602513546484,0.04644103378819253,7737,35249
uci,uci,uci->uci,True,43,0.9150090415913201,0.9316860465116279,0.8721088435374149,0.9009135628952917,0.8280327696260098,0.971238625320258,0.5569620253164558,0.35804701627486435,7737,1659
phiusiil,phiusiil,phiusiil->phiusiil,True,44,0.9010468382081761,0.9036186743193113,0.8594634178816324,0.8809881261089122,0.7971302260558396,0.9664982652261259,0.5738602513546484,0.32718658685352775,164490,35249
phiusiil,uci,phiusiil->uci,False,44,0.5250150693188668,0.4823451032644903,0.9850340136054422,0.6475849731663685,0.24389329042742455,0.8556527372853903,0.5569620253164558,-0.03194695599758901,164490,1659
uci,phiusiil,uci->phiusiil,False,44,0.6439047916252943,0.8426311407160699,0.20211703614939086,0.32603092783505155,0.28418402062569764,0.7019228843905659,0.5738602513546484,0.070044540270646,7737,35249
uci,uci,uci->uci,True,44,0.9288728149487643,0.9363507779349364,0.9006802721088435,0.9181692094313454,0.8558158996504439,0.9772351797862002,0.5569620253164558,0.3719107896323085,7737,1659
phiusiil,phiusiil,phiusiil->phiusiil,True,45,0.9021248829754036,0.9041000209541105,0.8617269156514213,0.8824050719203763,0.7993433283974287,0.9673326945466645,0.5738602513546484,0.32826463162075525,164490,35249
phiusiil,uci,phiusiil->uci,False,45,0.5213984327908379,0.48032021347565046,0.9795918367346939,0.6445837063563116,0.22972567683085102,0.844465794975999,0.5569620253164558,-0.035563592525617915,164490,1659
uci,phiusiil,uci->phiusiil,False,45,0.6454083803795853,0.8791340950090198,0.19466080820185075,0.31874420886248434,0.2956806882801718,0.7160112106316597,0.5738602513546484,0.0715481290249369,7737,35249
uci,uci,uci->uci,True,45,0.9204339963833634,0.92524682651622,0.8925170068027211,0.9085872576177285,0.8386161547404313,0.9750080984774863,0.5569620253164558,0.36347197106690765,7737,1659
phiusiil,phiusiil,phiusiil->phiusiil,True,46,0.901897926182303,0.9068327352051228,0.857932228213834,0.8817049808429118,0.7989117070384584,0.9668383994133214,0.5738602513546484,0.32803767482765467,164490,35249
phiusiil,uci,phiusiil->uci,False,46,0.5334538878842676,0.486815415821501,0.9795918367346939,0.6504065040650406,0.25261837553678246,0.8626137467974202,0.5569620253164558,-0.02350813743218816,164490,1659
uci,phiusiil,uci->phiusiil,False,46,0.6424863116684161,0.8688624580664837,0.18966779841555156,0.31136612021857923,0.2867161095274034,0.7085045161281489,0.5738602513546484,0.06862606031376772,7737,35249
uci,uci,uci->uci,True,46,0.9162145871006631,0.9197183098591549,0.8884353741496599,0.9038062283737024,0.8300228245282827,0.9727316900786289,0.5569620253164558,0.3592525617842073,7737,1659
