dataset,seed,strategy,strength,injected_shap_rank,injected_reached_rank_1,n_features_after_injection,genuine_feature_rank_correlation,injected_mean_abs_shap,top_feature_after_injection,n_seeds_for_dataset,seed_policy_reason
phiusiil,42,permuted_copy,,41,False,51,0.9983673469387756,1.7004067095391992e-05,URLSimilarityIndex,,
phiusiil,42,pure_noise,,41,False,51,0.995966386554622,2.2089778937519047e-05,URLSimilarityIndex,,
phiusiil,42,weak_proxy,0.05,41,False,51,0.9962545018007202,1.3653817927418196e-05,URLSimilarityIndex,,
phiusiil,42,weak_proxy,0.25,38,False,51,0.994813925570228,5.404928484771825e-05,URLSimilarityIndex,,
phiusiil,42,weak_proxy,0.5,24,False,51,0.995966386554622,0.0003395292854573,URLSimilarityIndex,,
phiusiil,43,permuted_copy,,41,False,51,0.9944297719087636,1.6779795054136157e-05,URLSimilarityIndex,,
phiusiil,43,pure_noise,,41,False,51,0.99202881152461,2.8818475006154006e-05,URLSimilarityIndex,,
phiusiil,43,weak_proxy,0.05,41,False,51,0.9931812725090036,1.984305411846833e-05,URLSimilarityIndex,,
phiusiil,43,weak_proxy,0.25,40,False,51,0.9937575030012004,4.014007646086506e-05,URLSimilarityIndex,,
phiusiil,43,weak_proxy,0.5,23,False,51,0.995966386554622,0.0003752648376099,URLSimilarityIndex,,
phiusiil,44,permuted_copy,,41,False,51,0.9918367346938775,1.5357275400995177e-05,URLSimilarityIndex,3.0,"B4.2 reports a threshold, not a variance estimate; PhiUSIIL seeds 42-43 already agreed on the injected-feature rank, and each further PhiUSIIL seed costs ~2h of uncacheable SHAP. E2, where across-seed variance is the deliverable, ran all 5 seeds on every config."
phiusiil,44,pure_noise,,41,False,51,0.9937575030012005,1.8042931976113522e-05,URLSimilarityIndex,3.0,"B4.2 reports a threshold, not a variance estimate; PhiUSIIL seeds 42-43 already agreed on the injected-feature rank, and each further PhiUSIIL seed costs ~2h of uncacheable SHAP. E2, where across-seed variance is the deliverable, ran all 5 seeds on every config."
phiusiil,44,weak_proxy,0.05,44,False,51,0.9957743097238896,8.664904281059837e-06,URLSimilarityIndex,3.0,"B4.2 reports a threshold, not a variance estimate; PhiUSIIL seeds 42-43 already agreed on the injected-feature rank, and each further PhiUSIIL seed costs ~2h of uncacheable SHAP. E2, where across-seed variance is the deliverable, ran all 5 seeds on every config."
phiusiil,44,weak_proxy,0.25,37,False,51,0.9949099639855942,7.146330784925408e-05,URLSimilarityIndex,3.0,"B4.2 reports a threshold, not a variance estimate; PhiUSIIL seeds 42-43 already agreed on the injected-feature rank, and each further PhiUSIIL seed costs ~2h of uncacheable SHAP. E2, where across-seed variance is the deliverable, ran all 5 seeds on every config."
phiusiil,44,weak_proxy,0.5,32,False,51,0.996062424969988,0.0002432958274458616,URLSimilarityIndex,3.0,"B4.2 reports a threshold, not a variance estimate; PhiUSIIL seeds 42-43 already agreed on the injected-feature rank, and each further PhiUSIIL seed costs ~2h of uncacheable SHAP. E2, where across-seed variance is the deliverable, ran all 5 seeds on every config."
uci,42,permuted_copy,,26,False,31,0.9968854282536151,0.0029048863805900666,sslfinal_state,5.0,"B4.2 reports a threshold, not a variance estimate; PhiUSIIL seeds 42-43 already agreed on the injected-feature rank, and each further PhiUSIIL seed costs ~2h of uncacheable SHAP. E2, where across-seed variance is the deliverable, ran all 5 seeds on every config."
uci,42,pure_noise,,13,False,31,0.9893214682981089,0.009332437675549142,sslfinal_state,5.0,"B4.2 reports a threshold, not a variance estimate; PhiUSIIL seeds 42-43 already agreed on the injected-feature rank, and each further PhiUSIIL seed costs ~2h of uncacheable SHAP. E2, where across-seed variance is the deliverable, ran all 5 seeds on every config."
uci,42,weak_proxy,0.05,23,False,31,0.9982202447163514,0.0035898611377748694,sslfinal_state,5.0,"B4.2 reports a threshold, not a variance estimate; PhiUSIIL seeds 42-43 already agreed on the injected-feature rank, and each further PhiUSIIL seed costs ~2h of uncacheable SHAP. E2, where across-seed variance is the deliverable, ran all 5 seeds on every config."
uci,42,weak_proxy,0.25,10,False,31,0.9951056729699665,0.015159643162586913,sslfinal_state,5.0,"B4.2 reports a threshold, not a variance estimate; PhiUSIIL seeds 42-43 already agreed on the injected-feature rank, and each further PhiUSIIL seed costs ~2h of uncacheable SHAP. E2, where across-seed variance is the deliverable, ran all 5 seeds on every config."
uci,42,weak_proxy,0.5,3,False,31,0.9884315906562846,0.046576805354023004,sslfinal_state,5.0,"B4.2 reports a threshold, not a variance estimate; PhiUSIIL seeds 42-43 already agreed on the injected-feature rank, and each further PhiUSIIL seed costs ~2h of uncacheable SHAP. E2, where across-seed variance is the deliverable, ran all 5 seeds on every config."
uci,43,permuted_copy,,21,False,31,0.9964404894327029,0.003980401652339069,sslfinal_state,5.0,"B4.2 reports a threshold, not a variance estimate; PhiUSIIL seeds 42-43 already agreed on the injected-feature rank, and each further PhiUSIIL seed costs ~2h of uncacheable SHAP. E2, where across-seed variance is the deliverable, ran all 5 seeds on every config."
uci,43,pure_noise,,14,False,31,0.9888765294771968,0.009083646125542372,sslfinal_state,5.0,"B4.2 reports a threshold, not a variance estimate; PhiUSIIL seeds 42-43 already agreed on the injected-feature rank, and each further PhiUSIIL seed costs ~2h of uncacheable SHAP. E2, where across-seed variance is the deliverable, ran all 5 seeds on every config."
uci,43,weak_proxy,0.05,21,False,31,0.9906562847608454,0.0036766078493615695,sslfinal_state,5.0,"B4.2 reports a threshold, not a variance estimate; PhiUSIIL seeds 42-43 already agreed on the injected-feature rank, and each further PhiUSIIL seed costs ~2h of uncacheable SHAP. E2, where across-seed variance is the deliverable, ran all 5 seeds on every config."
uci,43,weak_proxy,0.25,11,False,31,0.978642936596218,0.014615343379673726,sslfinal_state,5.0,"B4.2 reports a threshold, not a variance estimate; PhiUSIIL seeds 42-43 already agreed on the injected-feature rank, and each further PhiUSIIL seed costs ~2h of uncacheable SHAP. E2, where across-seed variance is the deliverable, ran all 5 seeds on every config."
uci,43,weak_proxy,0.5,3,False,31,0.9870967741935484,0.04328559661168197,sslfinal_state,5.0,"B4.2 reports a threshold, not a variance estimate; PhiUSIIL seeds 42-43 already agreed on the injected-feature rank, and each further PhiUSIIL seed costs ~2h of uncacheable SHAP. E2, where across-seed variance is the deliverable, ran all 5 seeds on every config."
uci,44,permuted_copy,,27,False,31,0.9906562847608454,0.0030755838504134213,sslfinal_state,5.0,"B4.2 reports a threshold, not a variance estimate; PhiUSIIL seeds 42-43 already agreed on the injected-feature rank, and each further PhiUSIIL seed costs ~2h of uncacheable SHAP. E2, where across-seed variance is the deliverable, ran all 5 seeds on every config."
uci,44,pure_noise,,14,False,31,0.9826473859844269,0.00897452466007165,sslfinal_state,5.0,"B4.2 reports a threshold, not a variance estimate; PhiUSIIL seeds 42-43 already agreed on the injected-feature rank, and each further PhiUSIIL seed costs ~2h of uncacheable SHAP. E2, where across-seed variance is the deliverable, ran all 5 seeds on every config."
uci,44,weak_proxy,0.05,22,False,31,0.9884315906562846,0.004159036095255017,sslfinal_state,5.0,"B4.2 reports a threshold, not a variance estimate; PhiUSIIL seeds 42-43 already agreed on the injected-feature rank, and each further PhiUSIIL seed costs ~2h of uncacheable SHAP. E2, where across-seed variance is the deliverable, ran all 5 seeds on every config."
uci,44,weak_proxy,0.25,9,False,31,0.9911012235817575,0.01756534111052079,sslfinal_state,5.0,"B4.2 reports a threshold, not a variance estimate; PhiUSIIL seeds 42-43 already agreed on the injected-feature rank, and each further PhiUSIIL seed costs ~2h of uncacheable SHAP. E2, where across-seed variance is the deliverable, ran all 5 seeds on every config."
