iteration,n_features_remaining,removed_feature,accuracy,f1,mcc,top_feature_after,removed_so_far,removed_features_so_far,top_feature_before,top_shap_before,second_feature,second_shap,fit_seconds,shap_seconds
0,50,URLSimilarityIndex,1.0,1.0,1.0,LineOfCode,0,,URLSimilarityIndex,0.247806890352753,LineOfCode,0.10231267024742868,21.82,0.01
1,49,LineOfCode,0.9997163040086243,0.9996671105193076,0.9994199473420987,IsHTTPS,1,URLSimilarityIndex,LineOfCode,0.1152708303479257,IsHTTPS,0.10966818355316905,30.77,0.01
2,48,IsHTTPS,0.9995460864137989,0.9994672704268496,0.9990719648501164,NoOfSelfRef,2,URLSimilarityIndex; LineOfCode,IsHTTPS,0.12655370534983706,NoOfSelfRef,0.06250322378393992,28.21,0.01
3,47,NoOfSelfRef,0.9981559760560583,0.9978342718155466,0.9962301516836702,NoOfExternalRef,3,URLSimilarityIndex; LineOfCode; IsHTTPS,NoOfSelfRef,0.10635874367889725,NoOfImage,0.07368974720852349,29.99,0.01
4,46,NoOfExternalRef,0.9978439104655451,0.9974661598986464,0.9955936724655122,NoOfImage,4,URLSimilarityIndex; LineOfCode; IsHTTPS; NoOfSelfRef,NoOfExternalRef,0.09222752837177924,NoOfImage,0.08508577667695473,30.4,0.01
5,45,NoOfImage,0.9977304320689948,0.997332977730364,0.995361320722614,HasSocialNet,5,URLSimilarityIndex; LineOfCode; IsHTTPS; NoOfSelfRef; NoOfExternalRef,NoOfImage,0.10301921776792192,HasSocialNet,0.05227580046453666,30.87,0.01
6,44,HasSocialNet,0.9973616272802065,0.9968986560843032,0.9946080630085278,NoOfJS,6,URLSimilarityIndex; LineOfCode; IsHTTPS; NoOfSelfRef; NoOfExternalRef; NoOfImage,HasSocialNet,0.07486471437186595,NoOfJS,0.07270163315058913,30.32,0.01
7,43,NoOfJS,0.9969928224914182,0.9964654884961653,0.9938532601136494,NoOfCSS,7,URLSimilarityIndex; LineOfCode; IsHTTPS; NoOfSelfRef; NoOfExternalRef; NoOfImage; HasSocialNet,NoOfJS,0.08542809471884256,NoOfOtherSpecialCharsInURL,0.051172146343571645,32.01,0.01
8,42,NoOfCSS,0.9965672785043548,0.9959622251142924,0.9929862970428124,LargestLineLength,8,URLSimilarityIndex; LineOfCode; IsHTTPS; NoOfSelfRef; NoOfExternalRef; NoOfImage; HasSocialNet; NoOfJS,NoOfCSS,0.08972944306165682,NoOfOtherSpecialCharsInURL,0.05290159246196129,27.76,0.01
9,41,LargestLineLength,0.995375755340577,0.9945610464146285,0.9905481677112189,LetterRatioInURL,9,URLSimilarityIndex; LineOfCode; IsHTTPS; NoOfSelfRef; NoOfExternalRef; NoOfImage; HasSocialNet; NoOfJS; NoOfCSS,LargestLineLength,0.060734371472114745,LetterRatioInURL,0.053519859066655864,23.92,0.01
10,40,LetterRatioInURL,0.9945814065647253,0.9936237689868136,0.9889254016453218,NoOfOtherSpecialCharsInURL,10,URLSimilarityIndex; LineOfCode; IsHTTPS; NoOfSelfRef; NoOfExternalRef; NoOfImage; HasSocialNet; NoOfJS; NoOfCSS; LargestLineLength,LetterRatioInURL,0.058380898606842785,NoOfOtherSpecialCharsInURL,0.05460262453890904,23.86,0.01
11,39,NoOfOtherSpecialCharsInURL,0.9927657522199211,0.9914826814522864,0.9852132882490036,NoOfLettersInURL,11,URLSimilarityIndex; LineOfCode; IsHTTPS; NoOfSelfRef; NoOfExternalRef; NoOfImage; HasSocialNet; NoOfJS; NoOfCSS; LargestLineLength; LetterRatioInURL,NoOfOtherSpecialCharsInURL,0.0654809384262721,HasCopyrightInfo,0.05214479684566876,24.34,1718.39
12,38,NoOfLettersInURL,0.9925671650259582,0.9912509183196421,0.9848054869947998,HasCopyrightInfo,12,URLSimilarityIndex; LineOfCode; IsHTTPS; NoOfSelfRef; NoOfExternalRef; NoOfImage; HasSocialNet; NoOfJS; NoOfCSS; LargestLineLength; LetterRatioInURL; NoOfOtherSpecialCharsInURL,NoOfLettersInURL,0.05578186834210872,HasCopyrightInfo,0.05093892957801668,31.67,1597.42
13,37,HasCopyrightInfo,0.9918011858492439,0.990350906480585,0.9832372088397837,HasDescription,13,URLSimilarityIndex; LineOfCode; IsHTTPS; NoOfSelfRef; NoOfExternalRef; NoOfImage; HasSocialNet; NoOfJS; NoOfCSS; LargestLineLength; LetterRatioInURL; NoOfOtherSpecialCharsInURL; NoOfLettersInURL,HasCopyrightInfo,0.05739623417888128,HasDescription,0.05350618807368998,24.72,1571.49
14,36,,0.9891911827285881,0.9873055009495885,0.9778960075454447,,14,URLSimilarityIndex; LineOfCode; IsHTTPS; NoOfSelfRef; NoOfExternalRef; NoOfImage; HasSocialNet; NoOfJS; NoOfCSS; LargestLineLength; LetterRatioInURL; NoOfOtherSpecialCharsInURL; NoOfLettersInURL; HasCopyrightInfo,HasDescription,0.059432216657093515,DomainTitleMatchScore,0.05281020988547163,33.0,2022.07
