feature,accuracy,f1,mutual_information
google_index,0.8548104956268222,0.8611266034578918,0.2994122171059308
web_traffic,0.7877551020408163,0.7863849765258216,0.29846263548843877
nb_hyperlinks,0.7772594752186589,0.7983104540654699,0.2336224271865306
page_rank,0.7714285714285715,0.7615571776155717,0.22117876383392843
ratio_intHyperlinks,0.7288629737609329,0.6978557504873294,0.24449138868952236
nb_www,0.7276967930029155,0.7426997245179063,0.11077675201712922
ratio_extHyperlinks,0.7247813411078717,0.7114914425427873,0.24027414934447355
safe_anchor,0.7201166180758017,0.7306397306397306,0.17924039624256594
longest_word_path,0.6973760932944606,0.6670942912123156,0.11998553141092749
links_in_tags,0.6903790087463557,0.7093596059113301,0.12090799614880066
ratio_extRedirection,0.6892128279883382,0.7003934794828556,0.12089532495782951
domain_age,0.6880466472303207,0.6555054732775274,0.27964778500615206
shortest_word_host,0.6810495626822157,0.6806771745475774,0.07384782441257398
char_repeat,0.6740524781341107,0.680022896393818,0.08819377638949
ratio_digits_url,0.673469387755102,0.6534653465346535,0.10203626468384486
phish_hints,0.6623906705539359,0.5187032418952618,0.08621541769724961
shortest_words_raw,0.6489795918367347,0.6670353982300885,0.04838271636140323
nb_dots,0.6443148688046647,0.5278637770897833,0.05770999938331012
domain_in_title,0.643731778425656,0.718562874251497,0.060346828813716336
avg_word_path,0.6425655976676384,0.5692199578355587,0.08007257329227002
ratio_extErrors,0.6419825072886297,0.7125468164794008,0.08891164530205509
shortest_word_path,0.6396501457725947,0.6444188722669736,0.04001353648860806
longest_words_raw,0.632069970845481,0.6102532427424336,0.07329954994274246
nb_subdomains,0.632069970845481,0.6201083684527393,0.03199134341396914
domain_registration_length,0.6309037900874636,0.6998577524893315,0.14616960747241858
ratio_extMedia,0.6250728862973761,0.6670119109269809,0.06247218500095997
ip,0.6239067055393586,0.43171806167400884,0.05581695739744075
nb_slash,0.6157434402332361,0.5513955071477196,0.03162858758136444
nb_eq,0.61399416909621,0.4068100358422939,0.05633892180067068
