dataset,seed,kendall_tau,tau_pvalue,jaccard_5,jaccard_10,jaccard_15,sign_agreement,tau_pvalue_permutation,n_features,top1_half_a,top1_half_b,tau_ci_lower,tau_ci_upper,half_a_fit_seconds,half_a_shap_seconds,half_a_n_train,half_a_n_explained,half_a_train_accuracy,half_b_fit_seconds,half_b_shap_seconds,half_b_n_train,half_b_n_explained,half_b_train_accuracy
phiusiil,42,0.9314285714285715,1.37026270120308e-21,1.0,0.8181818181818182,0.875,40.0,9.999000099990002e-05,50,URLSimilarityIndex,URLSimilarityIndex,0.8850933597002497,0.9684219720415681,14.64,0.01,117493,10000,1.0,14.85,0.01,117494,10000,1.0
phiusiil,43,0.9036734693877552,2.046284603194211e-20,1.0,0.6666666666666666,0.7647058823529411,36.0,9.999000099990002e-05,50,URLSimilarityIndex,URLSimilarityIndex,0.8517527796082461,0.9480801926298158,14.95,0.01,117493,10000,1.0,14.56,0.01,117494,10000,1.0
phiusiil,44,0.9183673469387756,4.939468442614902e-21,0.6666666666666666,0.8181818181818182,0.875,46.0,9.999000099990002e-05,50,URLSimilarityIndex,URLSimilarityIndex,0.8704265039994251,0.9551140820148798,14.81,0.01,117493,10000,1.0,14.98,0.01,117494,10000,1.0
phiusiil,45,0.9412244897959183,5.177190567377928e-22,1.0,1.0,0.875,62.0,9.999000099990002e-05,50,URLSimilarityIndex,URLSimilarityIndex,0.901255230125523,0.9716908469231823,14.67,0.01,117493,10000,1.0,15.18,0.01,117494,10000,1.0
phiusiil,46,0.9004081632653061,2.7978090888068634e-20,1.0,1.0,0.875,34.0,9.999000099990002e-05,50,URLSimilarityIndex,URLSimilarityIndex,0.84039235798929,0.9434746467165421,14.83,0.01,117493,10000,1.0,14.74,0.01,117494,10000,1.0
uci,42,0.7701149425287357,6.9946007521658696e-12,0.6666666666666666,0.8181818181818182,0.875,50.0,9.999000099990002e-05,30,url_of_anchor,url_of_anchor,0.5586594863297432,0.9100506814213472,0.49,0.0,2924,2924,0.993844049247606,0.53,0.0,2925,2925,0.9894017094017094
uci,43,0.7655172413793103,1.05385620614663e-11,0.6666666666666666,0.8181818181818182,0.875,53.333333333333336,9.999000099990002e-05,30,sslfinal_state,url_of_anchor,0.6086696484293739,0.8729411764705881,0.47,0.01,2924,2924,0.990766073871409,0.51,0.01,2925,2925,0.9945299145299146
uci,44,0.7701149425287357,6.9946007521658696e-12,0.6666666666666666,0.8181818181818182,0.7647058823529411,43.333333333333336,9.999000099990002e-05,30,url_of_anchor,sslfinal_state,0.6350156908299668,0.8663484486873508,0.49,0.01,2924,2924,0.9911080711354309,0.52,0.01,2925,2925,0.9941880341880341
uci,45,0.7517241379310345,3.4514772832318665e-11,0.6666666666666666,0.8181818181818182,0.6666666666666666,56.666666666666664,9.999000099990002e-05,30,url_of_anchor,sslfinal_state,0.6124401913875599,0.8612440191387559,0.48,0.01,2924,2924,0.9935020519835841,0.51,0.01,2925,2925,0.9935042735042735
uci,46,0.7839080459770115,1.9518944949315258e-12,0.6666666666666666,0.8181818181818182,0.7647058823529411,50.0,9.999000099990002e-05,30,url_of_anchor,url_of_anchor,0.6018244748837787,0.919047619047619,0.49,0.01,2924,2924,0.990766073871409,0.51,0.01,2925,2925,0.9948717948717949
