dataset_a,dataset_b,seed,n_features,kendall_tau,tau_pvalue,tau_pvalue_permutation,tau_ci_lower,tau_ci_upper,top1_a,top1_b,top1_agrees,jaccard_5,jaccard_10,jaccard_15,sign_agreement_top5,n_features_sign_top5,sign_agreement_top10,n_features_sign_top10,sign_agreement_top15,n_features_sign_top15,sign_agreement_weighted,sign_agreement_unfiltered,directional_top5_rho03,n_meeting_rho_min_top5_rho03,directional_top5_rho05,n_meeting_rho_min_top5_rho05,shap_mass_l1_distance,shap_mass_top1_a,shap_mass_top1_b,directional_top10_rho03,n_meeting_rho_min_top10_rho03,directional_top10_rho05,n_meeting_rho_min_top10_rho05,n_concepts_lost_to_deleaking,concepts_lost_to_deleaking
uci,uci379_website_phishing,42,9,0.2222222222222222,0.4767085537918871,0.4845515448455154,-0.3751077586206895,0.8126420454545452,sslfinal_state,sfh,False,0.6666666666666666,1.0,1.0,50.0,4,55.55555555555556,9,55.55555555555556,9,46.29401943502543,55.55555555555556,20.0,4,20.0,4,1.010479201592264,0.3664935025541791,0.3489064501931534,,,,,,
uci,uci379_website_phishing,43,9,0.2777777777777778,0.3584876543209876,0.3603639636036396,-0.2502314814814814,0.8750946969696968,sslfinal_state,sfh,False,0.6666666666666666,1.0,1.0,75.0,4,55.55555555555556,9,55.55555555555556,9,80.26970409145181,55.55555555555556,20.0,4,20.0,4,1.010457382277975,0.3962199937847737,0.3442916470630141,,,,,,
uci,uci379_website_phishing,44,9,0.2222222222222222,0.4767085537918871,0.4708529147085291,-0.3130208333333332,0.7499999999999999,sslfinal_state,sfh,False,0.6666666666666666,1.0,1.0,50.0,4,44.44444444444444,9,44.44444444444444,9,59.791215364549466,44.44444444444444,20.0,4,20.0,4,0.9621765280374877,0.3598531152421821,0.3142549722279021,,,,,,
uci,uci379_website_phishing,45,9,0.3333333333333333,0.2595182980599647,0.2578742125787421,-0.2413793103448276,1.0,sslfinal_state,sfh,False,0.6666666666666666,1.0,1.0,25.0,4,11.11111111111111,9,11.11111111111111,9,27.49486551439468,11.11111111111111,20.0,4,20.0,4,1.0074994236901451,0.3660595263076107,0.3519269075494585,,,,,,
uci,uci379_website_phishing,46,9,0.2777777777777778,0.3584876543209876,0.355964403559644,-0.2415948275862069,0.8001612903225804,sslfinal_state,sfh,False,0.6666666666666666,1.0,1.0,50.0,4,33.33333333333333,9,33.33333333333333,9,49.28069621320997,33.33333333333333,40.0,5,20.0,4,0.9728761024256364,0.3692677618502802,0.3278381899994745,,,,,,
uci,mendeley_hannousse,42,11,0.2727272727272727,0.2829668209876543,0.2864713528647135,-0.2083333333333333,0.7142857142857143,web_traffic,google_index,False,0.4285714285714285,0.8181818181818182,1.0,33.33333333333333,3,44.44444444444444,9,45.45454545454545,11,32.95110293733556,45.45454545454545,60.0,5,40.0,4,1.0332907563832867,0.218985054165249,0.3313729175580361,40.0,6.0,20.0,4.0,,
uci,mendeley_hannousse,43,11,0.2,0.4453821448613115,0.4486551344865513,-0.2766808510638298,0.744813829787234,web_traffic,google_index,False,0.4285714285714285,0.8181818181818182,1.0,0.0,3,33.33333333333333,9,36.36363636363637,11,30.41706394942801,36.36363636363637,60.0,5,40.0,4,1.090266154090768,0.2259333883154689,0.3623053612422856,40.0,6.0,30.0,5.0,,
uci,mendeley_hannousse,44,11,0.1495915184013531,0.5288014592987296,0.5832416758324167,-0.4139932402968811,0.678774893299507,web_traffic,google_index,False,0.4285714285714285,1.0,1.0,66.66666666666666,3,50.0,10,45.45454545454545,11,34.94870479096128,45.45454545454545,60.0,5,40.0,4,1.1111472498966348,0.2300077830372829,0.3495585589402991,30.0,5.0,20.0,4.0,,
uci,mendeley_hannousse,45,11,0.0181818181818181,1.0,1.0,-0.5199999999999999,0.6,web_traffic,google_index,False,0.4285714285714285,0.8181818181818182,1.0,66.66666666666666,3,66.66666666666666,9,63.63636363636363,11,52.84222580282988,63.63636363636363,60.0,5,40.0,4,1.127067950722905,0.2252109953482512,0.3369880807745071,40.0,6.0,20.0,4.0,,
uci,mendeley_hannousse,46,11,0.2363636363636363,0.3587114698573032,0.35996400359964,-0.2944177671068427,0.7255347593582886,web_traffic,google_index,False,0.4285714285714285,0.8181818181818182,1.0,33.33333333333333,3,22.22222222222222,9,27.27272727272727,11,11.30994017406039,27.27272727272727,60.0,5,40.0,4,1.1108163877923036,0.2188169122424644,0.3517014027590008,30.0,5.0,20.0,4.0,,
