dataset,feature,accuracy,precision,recall,f1,mutual_information
phiusiil,URLSimilarityIndex,0.9967374960991802,1.0,0.9923440516610079,0.9961573161359307,0.662215786810744
phiusiil,NoOfExternalRef,0.9611336491815371,0.9394193008433658,0.9714399840223686,0.9551613536689141,0.5654485944505745
phiusiil,LineOfCode,0.9609350619875742,0.9653478854024556,0.9421476599427469,0.9536066844109026,0.595168316462994
phiusiil,NoOfSelfRef,0.948707764759284,0.9019774870702768,0.9868850276279875,0.9425228891149542,0.5293939297844878
phiusiil,NoOfImage,0.9421260177593691,0.9423430791249233,0.920511284202117,0.9312992523742171,0.5494509954646463
phiusiil,NoOfJS,0.9319697012681211,0.9302610948258232,0.9084614872511817,0.9192320646682385,0.504826032305074
phiusiil,NoOfCSS,0.9018695565831655,0.9678698607963743,0.7961520537913588,0.8736530664426343,0.4556611168670177
phiusiil,HasSocialNet,0.8826633379670346,0.7863720073664825,0.9949404167498835,0.8784458943161112,0.39113246939369284
phiusiil,HasCopyrightInfo,0.8674288632301626,0.7883736484226953,0.9416816456960255,0.8582349907472014,0.3219704649717501
phiusiil,LargestLineLength,0.8384635025107096,0.9557314570507183,0.6510884761334133,0.7745307674031836,0.4585741629380953
phiusiil,HasDescription,0.8328463218814718,0.7326808380486313,0.956860395446375,0.8298978001039321,0.2806251321292377
phiusiil,NoOfOtherSpecialCharsInURL,0.793838123067321,0.9352267624607095,0.554623527062113,0.6963099168373104,0.2347809746872036
phiusiil,IsHTTPS,0.791568555136316,1.0,0.5108847613341322,0.6762723066754792,0.23480725502552469
phiusiil,DomainTitleMatchScore,0.789866379188062,0.7191205249222977,0.8317688569336262,0.7713536039512271,0.19126851897807318
phiusiil,IsResponsive,0.7814122386450679,0.7770372614359286,0.683043738765728,0.7270150575730735,0.16657036783195966
phiusiil,URLTitleMatchScore,0.7728729893046611,0.708519113013495,0.7934225417748485,0.7485710696564286,0.17161494062865112
phiusiil,HasSubmitButton,0.7678232006581747,0.6657936854357631,0.9139205112842022,0.7703703703703704,0.19687810726773902
phiusiil,DegitRatioInURL,0.7577519929643394,0.9314430244941427,0.4658145263298049,0.6210446900102072,0.16212569448369596
phiusiil,NoOfDegitsInURL,0.7577519929643394,0.9314430244941427,0.4658145263298049,0.6210446900102072,0.1648782662649244
phiusiil,URLLength,0.7484183948480808,0.8329905833964715,0.5123493775381133,0.6344600164880462,0.16731220703027905
phiusiil,SpacialCharRatioInURL,0.7477375244687793,0.7060445101862435,0.6990879435457027,0.7025490064895966,0.2033776200496582
phiusiil,NoOfLettersInURL,0.738120230361145,0.8016253386122109,0.5122162306104787,0.6250456964133393,0.1477009753751386
