dataset,model,seed,k,top_k_features,full_accuracy,full_f1,full_mcc,full_roc_auc,sufficiency_accuracy,sufficiency_f1,sufficiency_mcc,sufficiency_roc_auc,comprehensiveness_accuracy,comprehensiveness_f1,comprehensiveness_mcc,performance_retained,performance_lost
phiusiil,ensemble,42,3,URLSimilarityIndex; LineOfCode; IsHTTPS,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9981559760560584,0.9978342718155466,0.9962301516836702,1.0,0.0018440239439416
phiusiil,ensemble,42,5,URLSimilarityIndex; LineOfCode; IsHTTPS; NoOfSelfRef; NoOfImage,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.997531844875032,0.9970989362766348,0.9949559830549596,1.0,0.0024681551249681
phiusiil,ensemble,42,10,URLSimilarityIndex; LineOfCode; IsHTTPS; NoOfSelfRef; NoOfImage; NoOfSubDomain; NoOfExternalRef; NoOfOtherSpecialCharsInURL; LargestLineLength; HasSocialNet,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9965672785043548,0.995962764005205,0.9929855604867482,1.0,0.0034327214956452
phiusiil,ensemble,43,3,URLSimilarityIndex; LineOfCode; IsHTTPS,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.998439672047434,0.998167582875229,0.9968102128656292,1.0,0.0015603279525659
phiusiil,ensemble,43,5,URLSimilarityIndex; LineOfCode; IsHTTPS; NoOfSelfRef; NoOfSubDomain,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9981559760560584,0.9978336943842692,0.9962307787455774,1.0,0.0018440239439416
phiusiil,ensemble,43,10,URLSimilarityIndex; LineOfCode; IsHTTPS; NoOfSelfRef; NoOfSubDomain; NoOfExternalRef; NoOfImage; NoOfOtherSpecialCharsInURL; LargestLineLength; LetterRatioInURL,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.996028256120741,0.9953280384435694,0.991883666733078,1.0,0.003971743879259
phiusiil,ensemble,44,3,URLSimilarityIndex; LineOfCode; IsHTTPS,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9984113024482963,0.998134701219106,0.9967518373251556,1.0,0.0015886975517035
phiusiil,ensemble,44,5,URLSimilarityIndex; LineOfCode; IsHTTPS; NoOfSelfRef; NoOfImage,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9975602144741694,0.9971333333333332,0.995012733806084,1.0,0.0024397855258305
phiusiil,ensemble,44,10,URLSimilarityIndex; LineOfCode; IsHTTPS; NoOfSelfRef; NoOfImage; NoOfSubDomain; NoOfOtherSpecialCharsInURL; NoOfExternalRef; LargestLineLength; LetterRatioInURL,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9958012993276404,0.9950613988254138,0.991418966254634,1.0,0.0041987006723595
phiusiil,ensemble,45,3,URLSimilarityIndex; LineOfCode; IsHTTPS,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9986382592413968,0.9984007463183848,0.997216410397444,1.0,0.001361740758603
phiusiil,ensemble,45,5,URLSimilarityIndex; LineOfCode; IsHTTPS; NoOfSelfRef; NoOfImage,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9977588016681324,0.9973671054824196,0.9954184501173348,1.0,0.0022411983318675
