feature,accuracy,f1,mutual_information
PctExtHyperlinks,0.8886666666666667,0.8876933422999328,0.46946455448983926
PctExtResourceUrls,0.7793333333333333,0.7535368577810871,0.2938791675531358
PctExtNullSelfRedirectHyperlinksRT,0.7793333333333333,0.7257663628831814,0.21660613316542188
PctNullSelfRedirectHyperlinks,0.7353333333333333,0.7800554016620499,0.23418678733128329
ExtMetaScriptLinkRT,0.7306666666666667,0.7548543689320388,0.12178535023964732
NumNumericChars,0.7226666666666667,0.7409713574097135,0.1245147404157263
FrequentDomainNameMismatch,0.6986666666666667,0.5830258302583026,0.13184196959652184
NumDash,0.6693333333333333,0.7259668508287292,0.1132495764307262
SubmitInfoToEmail,0.6346666666666667,0.7295162882527148,0.07723145869845105
InsecureForms,0.6246666666666667,0.7189216175736396,0.05866418634732673
PathLevel,0.6233333333333333,0.6686217008797654,0.06289101371770323
IframeOrFrame,0.62,0.6750285062713797,0.03550506309093282
UrlLength,0.6173333333333333,0.6550480769230769,0.04192543254064485
NumDots,0.6153333333333333,0.5612167300380229,0.061199275968392586
PathLength,0.604,0.6925465838509317,0.05469849068194055
QueryLength,0.5993333333333334,0.696311268317332,0.056426822130235754
NumQueryComponents,0.5966666666666667,0.6933603649265079,0.031061140199651893
UrlLengthRT,0.5846666666666667,0.6466250709018718,0.011148380679378622
NumSensitiveWords,0.5793333333333334,0.2853907134767837,0.03772832132939197
DomainInPaths,0.5766666666666667,0.6092307692307692,0.010305646170920557
PctExtResourceUrlsRT,0.5673333333333334,0.694300518134715,0.02438841774478573
AbnormalExtFormActionR,0.556,0.6728880157170923,0.0159068453749025
RandomString,0.5513333333333333,0.532314107018763,0.006101010172804511
NumAmpersand,0.5493333333333333,0.6796208530805687,0.02297813917236935
NumDashInHostname,0.5486666666666666,0.25193370165745854,0.01222951251006621
HostnameLength,0.5446666666666666,0.2600216684723727,0.02629044176645068
EmbeddedBrandName,0.544,0.1876484560570071,0.0
NumUnderscore,0.5346666666666666,0.6554787759131293,0.0035164667519285153
ExtFormAction,0.5293333333333333,0.6650853889943074,0.009971793538045892
RelativeFormAction,0.528,0.6209850107066381,0.002390563103533916
SubdomainLevel,0.5266666666666666,0.5419354838709678,0.018437582994824897
AbnormalFormAction,0.524,0.6703601108033241,0.014509824847328323
IpAddress,0.522,0.0842911877394636,0.010795713085990366
MissingTitle,0.5173333333333333,0.08121827411167512,0.004702451690185905
DomainInSubdomains,0.5146666666666667,0.07142857142857142,0.017662099952376442
ExtFavicon,0.514,0.2845927379784102,0.0
NumPercent,0.514,0.6693877551020408,0.0
SubdomainLevelRT,0.5106666666666667,0.0825,0.005046856005155087
RightClickDisabled,0.51,0.04669260700389105,0.0
TildeSymbol,0.5093333333333333,0.04415584415584416,0.013671091712410988
NoHttps,0.5086666666666667,0.04161248374512354,0.0043762873822543735
PopUpWindow,0.506,0.6693440428380187,0.007079235547500673
NumHash,0.5033333333333333,0.013245033112582781,0.0
AtSymbol,0.5,0.6666666666666666,0.0
HttpsInHostname,0.5,0.0,0.0
DoubleSlashInPath,0.5,0.0,0.0
ImagesOnlyInForm,0.5,0.6603260869565217,0.0
FakeLinkInStatusBar,0.49866666666666665,0.6648841354723708,0.004693386906986952
