iteration,n_features_remaining,removed_feature,accuracy,f1,mcc,top_feature_after,removed_so_far,removed_features_so_far,top_feature_before,top_shap_before,second_feature,second_shap,fit_seconds,shap_seconds,hyperparameter_regime,regime_note
0,50,URLSimilarityIndex,1.0,1.0,1.0,LineOfCode,0,,URLSimilarityIndex,0.247806890352753,LineOfCode,0.1023126702474286,21.82,0.01,retuned_per_feature_set,hyperparameters tuned once on the full 50-feature set and held fixed; rows after iteration 0 therefore understate their feature set
1,49,LineOfCode,0.9997163040086244,0.9996671105193076,0.9994199473420988,IsHTTPS,1,URLSimilarityIndex,LineOfCode,0.1152708303479257,IsHTTPS,0.109668183553169,30.77,0.01,tuned_on_full_feature_set,hyperparameters tuned once on the full 50-feature set and held fixed; rows after iteration 0 therefore understate their feature set
2,48,IsHTTPS,0.9995460864137988,0.9994672704268496,0.9990719648501164,NoOfSelfRef,2,URLSimilarityIndex; LineOfCode,IsHTTPS,0.126553705349837,NoOfSelfRef,0.0625032237839399,28.21,0.01,tuned_on_full_feature_set,hyperparameters tuned once on the full 50-feature set and held fixed; rows after iteration 0 therefore understate their feature set
3,47,NoOfSelfRef,0.9981559760560584,0.9978342718155466,0.9962301516836702,NoOfExternalRef,3,URLSimilarityIndex; LineOfCode; IsHTTPS,NoOfSelfRef,0.1063587436788972,NoOfImage,0.0736897472085234,29.99,0.01,tuned_on_full_feature_set,hyperparameters tuned once on the full 50-feature set and held fixed; rows after iteration 0 therefore understate their feature set
4,46,NoOfExternalRef,0.9978439104655452,0.9974661598986464,0.9955936724655122,NoOfImage,4,URLSimilarityIndex; LineOfCode; IsHTTPS; NoOfSelfRef,NoOfExternalRef,0.0922275283717792,NoOfImage,0.0850857766769547,30.4,0.01,tuned_on_full_feature_set,hyperparameters tuned once on the full 50-feature set and held fixed; rows after iteration 0 therefore understate their feature set
5,45,NoOfImage,0.9977304320689948,0.997332977730364,0.995361320722614,HasSocialNet,5,URLSimilarityIndex; LineOfCode; IsHTTPS; NoOfSelfRef; NoOfExternalRef,NoOfImage,0.1030192177679219,HasSocialNet,0.0522758004645366,30.87,0.01,tuned_on_full_feature_set,hyperparameters tuned once on the full 50-feature set and held fixed; rows after iteration 0 therefore understate their feature set
6,44,HasSocialNet,0.9973616272802064,0.9968986560843032,0.9946080630085278,NoOfJS,6,URLSimilarityIndex; LineOfCode; IsHTTPS; NoOfSelfRef; NoOfExternalRef; NoOfImage,HasSocialNet,0.0748647143718659,NoOfJS,0.0727016331505891,30.32,0.01,tuned_on_full_feature_set,hyperparameters tuned once on the full 50-feature set and held fixed; rows after iteration 0 therefore understate their feature set
7,43,NoOfJS,0.9969928224914182,0.9964654884961652,0.9938532601136494,NoOfCSS,7,URLSimilarityIndex; LineOfCode; IsHTTPS; NoOfSelfRef; NoOfExternalRef; NoOfImage; HasSocialNet,NoOfJS,0.0854280947188425,NoOfOtherSpecialCharsInURL,0.0511721463435716,32.01,0.01,tuned_on_full_feature_set,hyperparameters tuned once on the full 50-feature set and held fixed; rows after iteration 0 therefore understate their feature set
8,42,NoOfCSS,0.9965672785043548,0.9959622251142924,0.9929862970428124,LargestLineLength,8,URLSimilarityIndex; LineOfCode; IsHTTPS; NoOfSelfRef; NoOfExternalRef; NoOfImage; HasSocialNet; NoOfJS,NoOfCSS,0.0897294430616568,NoOfOtherSpecialCharsInURL,0.0529015924619612,27.76,0.01,tuned_on_full_feature_set,hyperparameters tuned once on the full 50-feature set and held fixed; rows after iteration 0 therefore understate their feature set
9,41,LargestLineLength,0.995375755340577,0.9945610464146284,0.9905481677112188,LetterRatioInURL,9,URLSimilarityIndex; LineOfCode; IsHTTPS; NoOfSelfRef; NoOfExternalRef; NoOfImage; HasSocialNet; NoOfJS; NoOfCSS,LargestLineLength,0.0607343714721147,LetterRatioInURL,0.0535198590666558,23.92,0.01,tuned_on_full_feature_set,hyperparameters tuned once on the full 50-feature set and held fixed; rows after iteration 0 therefore understate their feature set
10,40,LetterRatioInURL,0.9945814065647252,0.9936237689868136,0.9889254016453218,NoOfOtherSpecialCharsInURL,10,URLSimilarityIndex; LineOfCode; IsHTTPS; NoOfSelfRef; NoOfExternalRef; NoOfImage; HasSocialNet; NoOfJS; NoOfCSS; LargestLineLength,LetterRatioInURL,0.0583808986068427,NoOfOtherSpecialCharsInURL,0.054602624538909,23.86,0.01,tuned_on_full_feature_set,hyperparameters tuned once on the full 50-feature set and held fixed; rows after iteration 0 therefore understate their feature set
11,39,NoOfOtherSpecialCharsInURL,0.9927657522199212,0.9914826814522864,0.9852132882490036,NoOfLettersInURL,11,URLSimilarityIndex; LineOfCode; IsHTTPS; NoOfSelfRef; NoOfExternalRef; NoOfImage; HasSocialNet; NoOfJS; NoOfCSS; LargestLineLength; LetterRatioInURL,NoOfOtherSpecialCharsInURL,0.0654809384262721,HasCopyrightInfo,0.0521447968456687,24.34,1718.39,tuned_on_full_feature_set,hyperparameters tuned once on the full 50-feature set and held fixed; rows after iteration 0 therefore understate their feature set
12,38,NoOfLettersInURL,0.9925671650259582,0.991250918319642,0.9848054869947998,HasCopyrightInfo,12,URLSimilarityIndex; LineOfCode; IsHTTPS; NoOfSelfRef; NoOfExternalRef; NoOfImage; HasSocialNet; NoOfJS; NoOfCSS; LargestLineLength; LetterRatioInURL; NoOfOtherSpecialCharsInURL,NoOfLettersInURL,0.0557818683421087,HasCopyrightInfo,0.0509389295780166,31.67,1597.42,tuned_on_full_feature_set,hyperparameters tuned once on the full 50-feature set and held fixed; rows after iteration 0 therefore understate their feature set
13,37,HasCopyrightInfo,0.991801185849244,0.990350906480585,0.9832372088397836,HasDescription,13,URLSimilarityIndex; LineOfCode; IsHTTPS; NoOfSelfRef; NoOfExternalRef; NoOfImage; HasSocialNet; NoOfJS; NoOfCSS; LargestLineLength; LetterRatioInURL; NoOfOtherSpecialCharsInURL; NoOfLettersInURL,HasCopyrightInfo,0.0573962341788812,HasDescription,0.0535061880736899,24.72,1571.49,tuned_on_full_feature_set,hyperparameters tuned once on the full 50-feature set and held fixed; rows after iteration 0 therefore understate their feature set
