dataset_a,dataset_b,seed,n_features,kendall_tau,tau_pvalue,tau_pvalue_permutation,tau_ci_lower,tau_ci_upper,top1_a,top1_b,top1_agrees,jaccard_5,jaccard_10,jaccard_15,sign_agreement_top5,n_features_sign_top5,sign_agreement_top10,n_features_sign_top10,sign_agreement_top15,n_features_sign_top15,sign_agreement_weighted,sign_agreement_unfiltered,directional_top5_rho03,n_meeting_rho_min_top5_rho03,directional_top5_rho05,n_meeting_rho_min_top5_rho05,shap_mass_l1_distance,shap_mass_top1_a,shap_mass_top1_b,directional_top10_rho03,n_meeting_rho_min_top10_rho03,directional_top10_rho05,n_meeting_rho_min_top10_rho05,n_concepts_lost_to_deleaking,concepts_lost_to_deleaking
uci,uci379_website_phishing,42,9,0.2222222222222222,0.47670855379188715,0.48455154484551544,-0.37510775862068957,0.8126420454545452,sslfinal_state,sfh,False,0.6666666666666666,1.0,1.0,50.0,4,55.55555555555556,9,55.55555555555556,9,46.294019435025426,55.55555555555556,20.0,4,20.0,4,1.010479201592264,0.3664935025541791,0.3489064501931534,,,,,,
uci,uci379_website_phishing,43,9,0.2777777777777778,0.35848765432098767,0.36036396360363965,-0.25023148148148144,0.8750946969696968,sslfinal_state,sfh,False,0.6666666666666666,1.0,1.0,75.0,4,55.55555555555556,9,55.55555555555556,9,80.26970409145181,55.55555555555556,20.0,4,20.0,4,1.010457382277975,0.39621999378477374,0.34429164706301413,,,,,,
uci,uci379_website_phishing,44,9,0.2222222222222222,0.47670855379188715,0.47085291470852914,-0.31302083333333325,0.7499999999999999,sslfinal_state,sfh,False,0.6666666666666666,1.0,1.0,50.0,4,44.44444444444444,9,44.44444444444444,9,59.791215364549466,44.44444444444444,20.0,4,20.0,4,0.9621765280374875,0.35985311524218216,0.31425497222790216,,,,,,
uci,uci379_website_phishing,45,9,0.3333333333333333,0.25951829805996474,0.2578742125787421,-0.2413793103448276,1.0,sslfinal_state,sfh,False,0.6666666666666666,1.0,1.0,25.0,4,11.11111111111111,9,11.11111111111111,9,27.494865514394682,11.11111111111111,20.0,4,20.0,4,1.0074994236901451,0.3660595263076107,0.35192690754945855,,,,,,
uci,uci379_website_phishing,46,9,0.2777777777777778,0.35848765432098767,0.35596440355964404,-0.2415948275862069,0.8001612903225804,sslfinal_state,sfh,False,0.6666666666666666,1.0,1.0,50.0,4,33.33333333333333,9,33.33333333333333,9,49.280696213209964,33.33333333333333,40.0,5,20.0,4,0.9728761024256364,0.36926776185028026,0.3278381899994745,,,,,,
uci,mendeley_hannousse,42,11,0.2727272727272727,0.2829668209876543,0.28647135286471354,-0.20833333333333337,0.7142857142857143,web_traffic,google_index,False,0.42857142857142855,0.8181818181818182,1.0,33.33333333333333,3,44.44444444444444,9,45.45454545454545,11,32.951102937335556,45.45454545454545,60.0,5,40.0,4,1.0332907563832867,0.21898505416524902,0.33137291755803616,40.0,6.0,20.0,4.0,,
uci,mendeley_hannousse,43,11,0.2,0.4453821448613115,0.44865513448655137,-0.2766808510638298,0.744813829787234,web_traffic,google_index,False,0.42857142857142855,0.8181818181818182,1.0,0.0,3,33.33333333333333,9,36.36363636363637,11,30.41706394942801,36.36363636363637,60.0,5,40.0,4,1.090266154090768,0.22593338831546897,0.3623053612422856,40.0,6.0,30.0,5.0,,
uci,mendeley_hannousse,44,11,0.14959151840135315,0.5288014592987296,0.5832416758324167,-0.41399324029688117,0.678774893299507,web_traffic,google_index,False,0.42857142857142855,1.0,1.0,66.66666666666666,3,50.0,10,45.45454545454545,11,34.94870479096128,45.45454545454545,60.0,5,40.0,4,1.1111472498966348,0.23000778303728292,0.34955855894029914,30.0,5.0,20.0,4.0,,
uci,mendeley_hannousse,45,11,0.018181818181818184,1.0,1.0,-0.5199999999999999,0.6,web_traffic,google_index,False,0.42857142857142855,0.8181818181818182,1.0,66.66666666666666,3,66.66666666666666,9,63.63636363636363,11,52.84222580282988,63.63636363636363,60.0,5,40.0,4,1.1270679507229053,0.22521099534825129,0.33698808077450715,40.0,6.0,20.0,4.0,,
uci,mendeley_hannousse,46,11,0.23636363636363636,0.3587114698573032,0.35996400359964004,-0.29441776710684275,0.7255347593582886,web_traffic,google_index,False,0.42857142857142855,0.8181818181818182,1.0,33.33333333333333,3,22.22222222222222,9,27.27272727272727,11,11.30994017406039,27.27272727272727,60.0,5,40.0,4,1.1108163877923036,0.21881691224246444,0.3517014027590008,30.0,5.0,20.0,4.0,,
