dataset,iteration,n_features,accuracy,fit_seconds,shap_seconds,mean_tree_depth,total_nodes,window_start,window_end,cache_replay,source_log,run_date,window_reconstructed,competing_jobs,contention_evidence,sampled_cpu_percent_mean,sampled_cpu_percent_max,sampled_n_python_procs_max,sampled_job_tags,n_load_samples,contended,cost_analysis_eligible,remeasured_clean,shap_seconds_original_contended,f1,mcc,removed_feature,top_feature,hyperparameter_regime
phiusiil,0,50,1.0,20.46,284.19,13.864,104862,10:34:34,10:38:27,False,a13.log,2026-09-11,True,,remeasured_uncontended,,,,,,False,True,True,179.9,,,,,
phiusiil,1,49,0.999716,31.2,683.21,19.158,281270,10:38:27,10:46:39,False,a13.log,2026-09-11,,,remeasured_uncontended,,,,,,False,True,True,463.5,,,,,
phiusiil,2,48,0.999546,27.4,788.7,20.152,367168,10:46:39,10:56:32,False,a13.log,2026-09-11,,,remeasured_uncontended,,,,,,False,True,True,564.3,,,,,
phiusiil,3,47,0.998156,28.77,978.95,23.722,544400,10:56:32,11:08:45,False,a13.log,2026-09-11,,,remeasured_uncontended,,,,,,False,True,True,705.8,,,,,
phiusiil,4,46,0.997844,27.9,582.7,25.126,628132,11:08:45,11:18:56,False,a13.log,2026-09-11,,,none,,,,,,False,True,False,,,,,,
phiusiil,5,45,0.99773,25.2,851.9,26.246,704950,11:18:56,11:33:34,False,a13.log,2026-09-11,,,none,,,,,,False,True,False,,,,,,
phiusiil,6,44,0.997362,25.4,752.1,28.38,838026,11:33:34,11:46:32,False,a13.log,2026-09-11,,,none,,,,,,False,True,False,,,,,,
phiusiil,7,43,0.996993,32.3,700.5,28.88,952992,11:46:32,11:58:46,False,a13.log,2026-09-11,,,none,,,,,,False,True,False,,,,,,
phiusiil,8,42,0.996567,24.1,717.8,31.152,1075554,11:58:46,12:11:08,False,a13.log,2026-09-11,,,none,,,,,,False,True,False,,,,,,
phiusiil,9,41,0.995376,29.1,1220.1,33.43,1291626,12:11:08,12:31:58,False,a13.log,2026-09-11,,,none,,,,,,False,True,False,,,,,,
phiusiil,10,40,0.994581,25.4,1264.2,36.51,1496914,12:31:58,12:53:28,False,a13.log,2026-09-11,,,none,,,,,,False,True,False,,,,,,
phiusiil,11,39,0.992766,28.83,1860.9,39.466,1718032,14:59:46,15:28:50,False,a13_resume.log,2026-09-11,,,remeasured_uncontended,,,,,,False,True,True,1718.4,,,,,
phiusiil,12,38,0.992567,31.7,1597.4,39.31,1738726,15:28:50,15:56:00,False,a13_resume.log,2026-09-11,,B1;B2;B2acq,phase_a.log+sampler,38.08,100.0,53.0,B2,46.0,True,False,False,,,,,,
phiusiil,13,37,0.991801,24.7,1571.5,39.632,1866634,15:56:00,16:22:37,False,a13_resume.log,2026-09-11,,B2;B2acq,phase_a.log+sampler,19.24,100.0,49.0,B2,76.0,True,False,False,,,,,,
phiusiil,14,36,0.989191,33.0,2022.1,42.442,2247592,16:22:37,16:56:53,False,a13_resume.log,2026-09-11,,,none,12.92,100.0,25.0,,97.0,False,True,False,,,,,,
uci379_website_phishing,0,9,0.9064039408866996,1.77,0.01,11.693333333333332,54348,,,False,screening,,,,not_assessed,,,,,,,,,,0.9243027888446216,0.8056806781916287,,SFH,retuned_per_feature_set
uci379_website_phishing__suspicious_dropped,0,9,0.9202127659574468,1.23,0.01,9.48,9690,,,False,screening,,,,not_assessed,,,,,,,,,,0.9302325581395348,0.8375517998895313,,SFH,retuned_per_feature_set
mendeley_hannousse,0,87,0.965597667638484,2.96,0.01,21.58,472714,,,False,screening,,,,not_assessed,,,,,,,,,,0.9658762290341236,0.9313385142064948,,page_rank,retuned_per_feature_set
mendeley_tan,0,48,0.9873333333333332,1.9,0.01,19.966666666666665,234594,,,False,screening,,,,not_assessed,,,,,,,,,,0.9873248832555036,0.9746675330381922,PctExtHyperlinks,PctExtHyperlinks,retuned_per_feature_set
mendeley_tan,1,47,0.9826666666666668,1.85,338.12,20.0,271312,,,False,screening,,,,not_assessed,,,,,,,,,,0.9826666666666668,0.9653333333333334,PctExtNullSelfRedirectHyperlinksRT,PctExtNullSelfRedirectHyperlinksRT,tuned_on_full_feature_set
mendeley_tan,2,46,0.9806666666666668,2.32,356.45,20.0,310536,,,False,screening,,,,not_assessed,,,,,,,,,,0.980653769179453,0.9613341878529912,PctNullSelfRedirectHyperlinks,PctNullSelfRedirectHyperlinks,tuned_on_full_feature_set
mendeley_tan,3,45,0.9753333333333334,2.24,372.43,20.0,343486,,,False,screening,,,,not_assessed,,,,,,,,,,0.9752839011356046,0.9506742720912652,FrequentDomainNameMismatch,FrequentDomainNameMismatch,tuned_on_full_feature_set
mendeley_tan,4,44,0.972,2.22,381.82,20.0,382488,,,False,screening,,,,not_assessed,,,,,,,,,,0.9720372836218376,0.9440033564623456,PctExtResourceUrls,PctExtResourceUrls,tuned_on_full_feature_set
mendeley_tan,5,43,0.9646666666666668,2.19,414.92,20.0,423066,,,False,screening,,,,not_assessed,,,,,,,,,,0.9650165016501652,0.9295192557785932,,ExtMetaScriptLinkRT,tuned_on_full_feature_set
