dataset,concept,value,n,share,phishing_rate
phiusiil,ip_in_domain,-1,638,0.002715043810934222,1.0
phiusiil,ip_in_domain,1,234349,0.9972849561890658,0.42457616631605
phiusiil,url_length,-1,11143,0.04741964449097184,1.0
phiusiil,url_length,0,8907,0.03790422448901429,0.9996631862579993
phiusiil,url_length,1,214937,0.9146761310200139,0.37262081447121714
phiusiil,subdomain_depth,-1,7034,0.029933570793277926,0.7510662496445835
phiusiil,subdomain_depth,0,36309,0.15451493061318286,0.4977002946927759
phiusiil,subdomain_depth,1,191644,0.8155514985935393,0.4006543382521759
phiusiil,ssl_state,-1,51189,0.2178375825045641,1.0
phiusiil,ssl_state,1,183798,0.7821624174954359,0.266314105703
phiusiil,iframe,-1,78595,0.334465310846983,0.062472167440676886
phiusiil,iframe,1,156392,0.665534689153017,0.6088994321960203
phiusiil,popup,-1,13409,0.05706273112980718,0.0390782310388545
phiusiil,popup,1,221578,0.9429372688701928,0.4495617795990577
phiusiil,url_redirect,0,203532,0.8661415312336427,0.4168042371715504
phiusiil,url_redirect,1,31455,0.1338584687663573,0.48653632172945477
phiusiil,form_handler,-1,10366,0.04411307859583722,0.0409994211846421
phiusiil,form_handler,1,224621,0.9558869214041628,0.44391218986648623
phiusiil,anchor_external_ratio,-1,43034,0.1831335350466196,0.6715852581679602
phiusiil,anchor_external_ratio,0,92530,0.39376646367671403,0.15964552037177132
phiusiil,anchor_external_ratio,1,99423,0.42310000127666636,0.5679168803999075
uci,ip_in_domain,-1,3793,0.3431026684758028,0.5077774848404957
uci,ip_in_domain,1,7262,0.6568973315241972,0.4092536491324704
uci,url_length,-1,8960,0.8104929895974672,0.4552455357142857
uci,url_length,0,135,0.012211668928086838,0.6148148148148148
uci,url_length,1,1960,0.17729534147444595,0.37551020408163266
uci,subdomain_depth,-1,3363,0.30420624151967435,0.5459411239964318
uci,subdomain_depth,0,3622,0.32763455450022616,0.6217559359469906
uci,subdomain_depth,1,4070,0.3681592039800995,0.19901719901719903
uci,ssl_state,-1,3557,0.3217548620533695,0.8577452909755412
uci,ssl_state,0,1167,0.10556309362279512,0.9820051413881749
uci,ssl_state,1,6331,0.5726820443238354,0.11072500394882324
uci,iframe,-1,1012,0.09154228855721393,0.43774703557312256
uci,iframe,1,10043,0.9084577114427861,0.44359255202628695
uci,popup,-1,2137,0.1933061962912709,0.44314459522695365
uci,popup,1,8918,0.8066938037087291,0.44303655528145325
uci,url_redirect,0,9776,0.8843057440072365,0.43944353518821605
uci,url_redirect,1,1279,0.11569425599276345,0.47068021892103207
uci,form_handler,-1,8440,0.7634554500226142,0.502132701421801
uci,form_handler,0,761,0.06883763003165988,0.3455978975032852
uci,form_handler,1,1854,0.16770691994572592,0.21413160733549083
uci,anchor_external_ratio,-1,3282,0.29687924016282224,0.9890310786106032
uci,anchor_external_ratio,0,5337,0.48276797829036633,0.2814315158328649
uci,anchor_external_ratio,1,2436,0.2203527815468114,0.06157635467980296
