config,model,accuracy_mean,accuracy_std,precision_mean,precision_std,recall_mean,recall_std,f1_mean,f1_std,mcc_mean,mcc_std,roc_auc_mean,roc_auc_std
phiusiil_full,rf,0.999994,1.3e-05,1.0,0.0,0.999987,3e-05,0.999993,1.5e-05,0.999988,2.6e-05,1.0,0.0
phiusiil_full,xgb,0.999994,1.3e-05,1.0,0.0,0.999987,3e-05,0.999993,1.5e-05,0.999988,2.6e-05,1.0,0.0
phiusiil_full,lgbm,0.999994,1.3e-05,1.0,0.0,0.999987,3e-05,0.999993,1.5e-05,0.999988,2.6e-05,1.0,0.0
phiusiil_full,ensemble,0.999994,1.3e-05,1.0,0.0,0.999987,3e-05,0.999993,1.5e-05,0.999988,2.6e-05,1.0,0.0
phiusiil_leakfree,rf,0.989373,0.000408,0.988592,0.000941,0.986446,0.000641,0.987517,0.000476,0.978268,0.000835,0.999104,8.3e-05
phiusiil_leakfree,xgb,0.99318,0.000448,0.992551,0.001358,0.991439,0.000582,0.991994,0.000521,0.986055,0.000917,0.999735,2.8e-05
phiusiil_leakfree,lgbm,0.992862,0.000456,0.992217,0.001361,0.991026,0.000716,0.99162,0.00053,0.985405,0.000932,0.999712,2.6e-05
phiusiil_leakfree,ensemble,0.992709,0.000448,0.991453,0.001108,0.991439,0.000453,0.991445,0.000522,0.985093,0.000915,0.999663,2.6e-05
uci_dedup,rf,0.949658,0.005486,0.956674,0.003099,0.945254,0.011513,0.950895,0.00561,0.899391,0.010836,0.990201,0.002112
uci_dedup,xgb,0.952392,0.004654,0.957362,0.007438,0.95011,0.008775,0.953684,0.004599,0.904813,0.009297,0.992445,0.001703
uci_dedup,lgbm,0.950342,0.003077,0.952401,0.008801,0.951435,0.010116,0.95185,0.003045,0.900723,0.006159,0.992114,0.001841
uci_dedup,ensemble,0.953303,0.00351,0.95582,0.00723,0.953642,0.006981,0.954697,0.003363,0.906586,0.006994,0.992426,0.001271
uci_full,rf,0.970585,0.003229,0.97483,0.004399,0.958367,0.006054,0.966516,0.003713,0.940418,0.006539,0.995312,0.000779
uci_full,xgb,0.97167,0.002795,0.973329,0.003899,0.962449,0.006977,0.967841,0.00327,0.942601,0.005644,0.996424,0.000625
uci_full,lgbm,0.971429,0.00312,0.973839,0.004441,0.961361,0.007109,0.967541,0.00362,0.942118,0.006298,0.996668,0.000473
uci_full,ensemble,0.972996,0.002996,0.976287,0.003983,0.962449,0.007732,0.969297,0.003511,0.945308,0.006033,0.996851,0.000551
